NUSP,Trabalho_final,Fonte_entrega,Justificativa
14554690,9.0,Moodle,"Conteúdo substantivo correto e completo; perde em reprodutibilidade/apresentação porque o PDF tem 206 páginas de impressão da base e a limpeza foi feita parcialmente no Excel."
15439907,9.0,Moodle,"Análise completa, com variante aceitável do teste de proporções; resultados e conclusões substantivas são coerentes."
15510702,7.2,Moodle,"Estrutura completa e segundo teste correto, mas usa denominadores inadequados no primeiro estimando, obtendo p-valor 0,00392 e conclusão incorreta."
14558926,9.2,Moodle,"Trabalho completo e bem interpretado; pequenas diferenças numéricas decorrem da implementação escolhida para o teste."
15442662,8.8,Moodle,"Cobertura completa e segundo teste correto; há pequenas inconsistências de denominador/limpeza na experiência administrativa."
11760430,7.8,Moodle,"Combina exp_adm com exp_car, alterando o estimando, e recodifica exp_car de modo inadequado; os resultados ficam próximos e o segundo teste está correto."
14562914,8.5,Moodle,"Boa cobertura e interpretação; pequenas inconsistências na limpeza e em denominadores reduzem a precisão dos resultados."
3464981,6.5,Moodle,"O primeiro teste produz p-valor 0,0014 e há contradição entre o p-valor e a decisão; o segundo teste e a análise de tamanho amostral estão corretos."
15514004,8.7,Moodle,"Relatório completo; usa variante do teste com resultados próximos, mas há pequenas inconsistências na limpeza e apresentação numérica."
13713872,8.5,Moodle,"Resultados centrais corretos; faltam precisão em parte das decisões/interpretações e na discussão dos níveis de significância."
14567093,9.0,Moodle,"Resultados e testes centrais corretos; pequenas perdas por tratamento/relato de dados e apresentação."
5549811,9.1,Moodle,"Análise completa e substantivamente correta; pequenas diferenças numéricas são compatíveis com outra implementação do teste."
11330361,9.8,Moodle,"Trabalho completo, correto, claro e reprodutível, com resultados alinhados ao gabarito."
15451867,5.9,Moodle,"Agrega as pastas na tabela descritiva e obtém p-valor 0,001 no primeiro teste; o segundo teste e o efeito do tamanho amostral estão corretos."
14780870,9.6,Moodle,"Trabalho completo e correto; resultados, testes e interpretações estão alinhados ao gabarito."
13825860,9.4,Moodle,"Resultados e interpretações corretos; pequenas perdas de apresentação/validação."
15452656,6.8,Moodle,"Usa o total da pasta em vez das observações válidas para exp_adm, obtendo 85,5% no MinC e um primeiro teste incorreto; segundo teste correto."
14573451,9.8,Moodle,"Trabalho completo, correto, claro e reprodutível, com resultados alinhados ao gabarito."
13860449,9.5,Moodle,"Trabalho completo e correto; pequenas diferenças de apresentação não afetam as conclusões."
14574661,8.4,Moodle,"Testes e segundo estimando estão corretos; há perdas em validação, denominadores e clareza de algumas decisões."
15456813,8.6,Moodle,"Primeiro teste e tabela de exp_adm corretos; no segundo teste exclui observações ao herdar a base filtrada, alterando ligeiramente contagens e p-valor."
15585578,9.3,Moodle,"Cobertura completa e conclusões corretas; pequenas inconsistências de limpeza/denominadores."
15528312,8.7,Moodle,"Resultados centrais corretos; pequenas inconsistências de denominador e explicação reduzem a precisão."
15553839,7.6,Moodle,"Segundo teste correto, mas o primeiro teste usa limpeza/denominadores inadequados e p-valor próximo de 0,016; discussão substantiva é limitada."
