pid,title,journal_title,year,eligible_order,method_type,causal_design_quote,tough_call_reason
S1981-38212012000100070,Trust and Political Information: Attitudinal Change in Participants in the Youth Parliament in Brazil,Brazilian Political Science Review,2012,50,difference_in_differences,"""To answer this question, we used the method of ‘difference in difference.’ The variables used were derived by subtracting the values at time 1 (before the YP) from values at time 2 (after the YP took place) for each of the two groups (treatment and control).""","The article explicitly invokes quasi-experimental logic and difference in difference, but the body text also states that the data do not allow a direct causal test of whether political information caused increased confidence. This creates ambiguity for the mechanism claim, though not for the presence of a difference-in-difference-style causal design for program effects."
S1981-38212013000100003,Investigating elite behavior through field experiment in Brazil: do candidates answer more to core or swing voters?,Brazilian Political Science Review,2013,58,experiment_field,This article is based on a field experiment conducted in the context of the 2008 Brazilian municipal election.,NA
S1981-38212015000100135,The Impacts of Conditional Cash Transfers in Four Presidential Elections (2002&#8211;2014),Brazilian Political Science Review,2015,90,matching_or_weighting,"This was done by matching beneficiaries to non-beneficiaries on gender, age, income, education, region, race (when available), and municipality's human development index (HDI-M) of respondents[3]. Matching was done using the genetic matching algorithm, developed by Diamond and Sekhon (2005).","The paper uses matching and generalized propensity score methods and explicitly frames estimates as BFP effects, supporting a credibility-revolution matching classification. However, it also acknowledges that Brazil lacks randomized pilots or sharp discontinuities and that the 2014 indirect-effect explanation is not directly tested, so causal attribution is qualified."
S1981-38212015000300003,Impact of Electronic Voting Machines on Blank Votes and Null Votes in Brazilian Elections in 1998,Brazilian Political Science Review,2015,95,difference_in_differences,"A simple way to ""isolate"" the effects of cities' socioeconomic levels is to compare the average amount of null and blank votes from 1998 to those from the same cities in the previous elections (1994), a technique known as difference-in-differences, or diff-in-diff.","The article explicitly uses difference-in-differences as a causal design, but presents the results as average percentage-point differences without regression output or uncertainty estimates. I therefore classify it as statistical modeling for the quantitative-analysis type because of the explicit DiD design, while coding statistical inference as absent."
S1981-38212017000200203,Future electoral impacts of having a female mayor,Brazilian Political Science Review,2017,128,regression_discontinuity,"Our empirical strategy is to apply a sharp regression discontinuity approach in the same way as Lee, Moretti, and Butler (2004) and Lee (2008).",NA
S1981-38212018000200205,Affirmative Action Attitudes of Whites: Evidence from a List Experiment Survey in Brazil,Brazilian Political Science Review,2018,148,experiment_list,"The list experiment embedded in the survey randomly assigned respondents to a baseline group, the control group or the treatment group.",NA
S1981-38212018000200205,Affirmative Action Attitudes of Whites: Evidence from a List Experiment Survey in Brazil,Brazilian Political Science Review,2018,148,experiment_survey,"The list experiment embedded in the survey randomly assigned respondents to a baseline group, the control group or the treatment group.",NA
S1981-38212019000200202,Migrant Remittances and Rights to Physical Integrity: A Cross-section Study of Latin America (1981-2014),Brazilian Political Science Review,2019,163,instrumental_variables,"Therefore, an econometric approach based on instrumental variables is in order.",NA
S1981-38212020000100200,Brazilian International Development Cooperation and Public Opinion: Domestic Costs Faced by a Troubled Emerging Donor,Brazilian Political Science Review,2020,172,experiment_survey,the participants were randomly assigned to a control group or one of two treatment groups,"The article is clearly quantitative and experimental, but the mixed_empirical and qualitative classification requires judgment because the qualitative material is mainly contextual and motivational rather than a standalone qualitative analysis. It is still substantive because the article uses legislative episodes, campaign rhetoric, foreign-policy history, and MINUSTAH context to build and interpret the empirical argument."
S1981-38212020000100201,How 'Democratic' is the Democratic Peace? A Survey Experiment of Foreign Policy Preferences in Brazil and China,Brazilian Political Science Review,2020,173,experiment_survey,Our study involved survey experiments in China and Brazil.,NA
S1981-38212022000100202,Sources of the Incumbency (Dis)Advantage,Brazilian Political Science Review,2022,201,regression_discontinuity,RDD designs based on elections are particularly common since the discontinuous assignment of victory in close races often provides a credible research design to make causal inferences about the effect of incumbency on the likelihood of reelection.,NA
S1981-38212023000100203,"Better Incentives, Better Marks: A Synthetic Control Evaluation of the Educational Policies in Ceará, Brazil",Brazilian Political Science Review,2023,219,synthetic_control,SCM is employed in this investigation to overcome this limitation.,NA
S1981-38212023000200201,Mandatory Individual Amendments: a Change in the Pattern of Executive Dominance in the Brazilian Budgetary and Financial Cycle,Brazilian Political Science Review,2023,223,difference_in_differences,"""This arrangement is appropriate for the difference-in-difference method, which consists in comparing changes in the pattern of the dependent variable between the treatment groups – coalition and reelected deputies after EC 86/2015 – and the control group.""","The quantitative and causal classifications are clear, but the mixed-empirical classification requires judgment because much of the qualitative material is institutional/legal reconstruction rather than interview- or ethnography-style qualitative analysis. It is still substantive qualitative evidence because the article uses legislative speeches, constitutional texts, procedural rules, and documentary evidence to reconstruct the institutional change and its mechanisms."
S1981-38212023000200204,"From the Specific to the Diffuse: the Indirect Effect of Crime Victimization on Support for Democracy,",Brazilian Political Science Review,2023,226,dag_or_formal_causal_graph,"This strategy consists of three main steps. First, I run several matching estimations to achieve covariate balance between treatment and control groups... Second, I employ a novel mediation analysis approach, the regression-with-residuals (RWR)... Third, I run sensitivity analyses",NA
S1981-38212023000200204,"From the Specific to the Diffuse: the Indirect Effect of Crime Victimization on Support for Democracy,",Brazilian Political Science Review,2023,226,matching_or_weighting,"This strategy consists of three main steps. First, I run several matching estimations to achieve covariate balance between treatment and control groups... Second, I employ a novel mediation analysis approach, the regression-with-residuals (RWR)... Third, I run sensitivity analyses",NA
S2236-57102024000100406,DESIGUALDADES DE GÊNERO E COR/RAÇA ENTRE OS DIRIGENTES MUNICIPAIS E ESTADUAIS NO BRASIL (2010 e 2019),Cadernos Gestão Pública e Cidadania,2024,322,matching_or_weighting,"O uso do matching é recomendado para estudos com variáveis explicativas binárias, sendo capaz de tornar os grupos tratamento (mulheres e negros) e os grupos controle (homens e brancos) semelhantes com relação a covariáveis especificadas.","O artigo usa CEM e linguagem de identificação de efeitos, o que sustenta registrar matching_or_weighting como método de credibilidade; porém a justificativa causal é limitada, com pareamento e regressões apresentados sobretudo como redução de viés observável, sem discussão detalhada de ignorabilidade ou desenho quase-experimental."
S2236-57102025000100201,Efeito do monitoramento dos observatórios sociais nos gastos municipais brasileiros,Cadernos Gestão Pública e Cidadania,2025,332,difference_in_differences,"we are forced to move away from the 2×2 approach, with two groups (treatment and control) and two periods (pre and post), adopting the difference-in-differences Two Way Fixed Effects approach","The paper contains institutional descriptions and quoted material about observatory practices, but these serve as context and mechanism discussion rather than a substantive qualitative empirical analysis. I therefore classify the empirical evidence as quantitative_only rather than mixed_empirical."
S2236-57102025000100201,Efeito do monitoramento dos observatórios sociais nos gastos municipais brasileiros,Cadernos Gestão Pública e Cidadania,2025,332,event_study,"we are forced to move away from the 2×2 approach, with two groups (treatment and control) and two periods (pre and post), adopting the difference-in-differences Two Way Fixed Effects approach","The paper contains institutional descriptions and quoted material about observatory practices, but these serve as context and mechanism discussion rather than a substantive qualitative empirical analysis. I therefore classify the empirical evidence as quantitative_only rather than mixed_empirical."
