pid,title,journal_title,year,eligible_order,empirical_evidence_type,quantitative_analysis_type,credibility_revolution_screen_reason,tough_call_reason
S1981-38212007000100053,Tradition and Diversification in the Uses and Definitions of the Law: A Proposed Analysis,Brazilian Political Science Review,2007,3,none,none,not_empirical,"The body text references Table 1 and Table 2 and mentions an analysis of authors involved in curriculum reform, which creates some ambiguity. Because the provided text does not include table contents or report a systematic original empirical procedure, these references are treated as illustrative support within a conceptual framework rather than as original empirical analysis."
S1981-38212007000100102,Career Choice and Legislative Reelection: Evidence from Brazil and Colombia,Brazilian Political Science Review,2007,4,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The article has strong explanatory language and statistical modeling, but it relies on observational random-effects probit regressions and interaction comparisons without a design-based identification strategy, so it should not be counted as a credibility-revolution method."
S1981-38212007000200074,Women and Candidate Quality in the Elections for the Senate: Brazil and the United States in Comparative Perspective,Brazilian Political Science Review,2007,6,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article uses explanatory language and statistical models, but it does not present a design-based causal identification strategy. The appropriate credibility-revolution coding is therefore observational regression with causal or explanatory claims but no credibility-revolution method."
S1981-38212007000200108,Rethinking State Politics: The Withering of State Dominant Machines in Brazil,Brazilian Political Science Review,2007,7,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The paper combines typological qualitative comparison with quantitative factor analysis and correlations. Its causal explanation is substantive, but the article itself notes that the Bolsa Família evidence rests on simple correlations, so it should be screened but not counted as a credibility-revolution design."
S1981-38212008000100010,Personal Networks and Urban Poverty: Preliminary Findings,Brazilian Political Science Review,2008,9,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The quantitative classification is clear because the article uses K-means clustering analytically, but the causal screening is a judgment call because the article uses explanatory language about determinants and impact while presenting preliminary observational and typological analysis without an identification design."
S1981-38212008000100057,Brazilian Democracy and the Power of &#8220;Old&#8221; Theories of Party Competition,Brazilian Political Science Review,2008,11,mixed_empirical,bivariate_tests_or_correlations_only,bivariate_or_correlation_screen,"The article is written as an essay using established theories rather than as a conventional methods-driven empirical article. The quantitative classification rests on the author's tables, graphs, percentages, indexes, and especially reported correlations; the qualitative classification rests on case-based historical and policy interpretation rather than interviews, archives, or formal qualitative methods."
S1981-38212008000100096,Re-evaluating the Contribution and Legacy of Hedley Bull,Brazilian Political Science Review,2008,13,none,none,not_empirical,"The article performs sustained textual interpretation of theoretical works, which could superficially resemble qualitative text analysis. However, the stated purpose and execution are conceptual exegesis and critical theory discussion, and the prompt excludes conceptual essays and literature reviews without original empirical analysis from empirical classification."
S1981-38212008000200010,The Role of the Brazilian Congress in Foreign Policy: An Empirical Contribution to the Debate,Brazilian Political Science Review,2008,14,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article makes explanatory institutional claims and uses descriptive quantitative indicators, but it does not use statistical tests, modeling, or a design-based causal identification strategy. I therefore classify the quantitative component as descriptive only and do not treat it as a credibility-revolution screen case."
S1981-38212008000200039,"Development, Good Governance, and Local Democracy",Brazilian Political Science Review,2008,15,none,none,not_empirical,"The paper closely interprets policy documents and development discourse, which could resemble qualitative document analysis, but it does not present an explicit empirical design, corpus, method, or original systematic qualitative analysis. I therefore classify it as a conceptual/theoretical critical essay rather than an empirical qualitative paper."
S1981-38212008000200074,Policy Positions in the Chilean Senate: An Analysis of Coauthorship and Roll Call Data,Brazilian Political Science Review,2008,16,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article contains explanatory language and uses statistical modeling, but the models are spatial-scaling and network-position analyses rather than causal identification designs; therefore it passes the screen but has no credibility-revolution method."
S1981-38212008000200093,"Justice, Professionalism, and Politics in the Exercise of Judicial Review by Brazil's Supreme Court",Brazilian Political Science Review,2008,17,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The article uses logistic regression and explanatory language about factors influencing decisions, but it does not articulate a design-based causal identification strategy. I therefore screen it for credibility-revolution methods but classify the method as observational regression with causal or explanatory claims and no credibility-revolution design."
S1981-38212009000100093,How Safe are &#8220;Safe&#8221; Seats? A Comparison of Voluntary and Compulsory Voting Systems,Brazilian Political Science Review,2009,21,none,none,not_empirical,"The article uses probability analysis, equations, standard deviations, and hypothetical numerical examples, which are quantitative in a formal mathematical sense. However, the classifier requires original or reanalyzed empirical quantitative data analysis, and the article does not analyze observed data."
S1981-38212009000200011,Politics and Development: Lessons from Latin America,Brazilian Political Science Review,2009,23,qualitative_only,none,qualitative_only,"The article includes several descriptive numbers and cited survey percentages, especially from the Parliamentary Elites in Latin America survey, but these are used as secondary contextual evidence rather than as the authors' original or reanalyzed quantitative analysis."
