pid,agent_id,prompt_version,model,run_timestamp,input_text_hash,source_file,raw_response_path,manifest_title,manifest_year,manifest_journal_title,error_in_raw_text,subfield,is_empirical_quant_paper,general_goal_of_analysis,single_country_study,single_region,countries_of_focus,paper_uses_survey_data,uses_original_dataset,seeks_determinants,main_causal_research_design,other_research_design,instrumental_variable_instrument,placebo_test,independent_variables,dependent_variables,main_variable_relationship,makes_explicit_causal_claim,makes_implicit_causal_claim,strong_non_causal_causal_qualification,sample_size,sample_size_quote,claims_any_statistically_significant_results,references_power_analysis,clearly_defined_explanatory_variable,clear_causal_quantity_of_interest,specifies_estimate_equations,discusses_threats_to_causality,statement_of_identification_assumptions_quote,statement_of_identification_assumptions,effort_to_explore_mechanisms,mentions_pre_registered_design_and_analysis_plan,evidence_type,method_status,brief_justification
S0011-52582006000100002,agent_b,agent_b_v2+common_schema_v2,codex_subagent_inherited,2026-06-03T00:00:00Z,7586b09d248ac24dc595d18d488ea5072c6f3e9eee255135eba0499b5a871141,data/processed/fulltext_gold/article_texts_gold.csv,,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",2006,Dados,No Error,Brazilian Politics,TRUE,Explain,single_country,,Brazil,uses_public_available_survey,not_original,TRUE,Kitchen Sink Linear Model,,,FALSE,"[{""variable_name"":""Economic and financial indicators"",""variable_description"":""Inflation, unemployment, exchange rate, country risk/C-Bond spread and stock-market indicators.""},{""variable_name"":""Political campaign variables"",""variable_description"":""HGPE, debates, reelection and residual presidential popularity controls.""}]","[{""variable_name"":""Voting intentions"",""variable_description"":""Aggregate vote intention for Lula, government candidates, other candidates, undecided, blank and null.""}]","[{""iv_var_name"":""Economic and financial indicators"",""dv_var_name"":""Voting intentions"",""relationship_type"":""Unknown"",""statistically_significant"":true,""substantively_significant"":true}]",TRUE,FALSE,FALSE,67,Foram aproveitados os resultados de 67 pesquisas.,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,FALSE,Mechanisms/Channels Mentioned With Substantial Exploration,FALSE,quantitative,explicit,"O artigo ""Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002"" usa dados quantitativos para explicar um outcome por variáveis observacionais. A linguagem de efeito/determinantes foi classificada conservadoramente: não há estimando causal claro nem suposições substantivas de identificação, portanto a quantidade causal é FALSE."
S0011-52582006000300002,agent_b,agent_b_v2+common_schema_v2,codex_subagent_inherited,2026-06-03T00:00:00Z,d0b2e162a4cf0fc32f2bb1776d01cb156ada542a47082d2ba2e6be5836378753,data/processed/fulltext_gold/article_texts_gold.csv,,"Max Weber, as múltiplas modernidades e a reorientação da teoria sociológica",2006,Dados,No Error,Methodology and Formal Theory,FALSE,,,,,no_survey_data,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,FALSE,theoretical-normative,essayistic,"O artigo ""Max Weber, as múltiplas modernidades e a reorientação da teoria sociológica"" é tratado como ensaio teórico, conceitual ou histórico-intelectual. Não há análise empírica quantitativa própria nem desenho de identificação causal sustentado pelo corpo do texto."
S0011-52582008000400005,agent_b,agent_b_v2+common_schema_v2,codex_subagent_inherited,2026-06-03T00:00:00Z,c663689e29439cdcae2be5d663b353813bdea33ae18dd400a8404ec5f3b2a776,data/processed/fulltext_gold/article_texts_gold.csv,,O conceito de federalismo e a idéia de interesse no Brasil do século XIX,2008,Dados,No Error,Political Theory and Philosophy,FALSE,Describe,single_country,,Brazil,no_survey_data,not_original,FALSE,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,FALSE,qualitative,essayistic,"O artigo ""O conceito de federalismo e a idéia de interesse no Brasil do século XIX"" é uma análise qualitativa, documental ou de campo. O método pode ser explícito, mas o texto não sustenta análise quantitativa própria nem desenho causal de identificação."
S0011-52582010000200002,agent_b,agent_b_v2+common_schema_v2,codex_subagent_inherited,2026-06-03T00:00:00Z,6c2ee07c6d64137229346da11cdeb115f44ac794ef54cded5ca5d019b9711313,data/processed/fulltext_gold/article_texts_gold.csv,,O contextualismo linguístico na história do pensamento político: Quentin Skinner e o debate metodológico contemporâneo,2010,Dados,No Error,Methodology and Formal Theory,FALSE,,,,,no_survey_data,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,FALSE,theoretical-normative,essayistic,"O artigo ""O contextualismo linguístico na história do pensamento político: Quentin Skinner e o debate metodológico contemporâneo"" é tratado como ensaio teórico, conceitual ou histórico-intelectual. Não há análise empírica quantitativa própria nem desenho de identificação causal sustentado pelo corpo do texto."
S0011-52582010000300002,agent_b,agent_b_v2+common_schema_v2,codex_subagent_inherited,2026-06-03T00:00:00Z,121b3b7589b0f8e7eba0b39cc659f642526535a80d1ee34aca4f18825847bcc0,data/processed/fulltext_gold/article_texts_gold.csv,,Construção democrática e modelos de Constituição,2010,Dados,No Error,Political Theory and Philosophy,FALSE,,,,,no_survey_data,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,FALSE,theoretical-normative,essayistic,"O artigo ""Construção democrática e modelos de Constituição"" é tratado como ensaio teórico, conceitual ou histórico-intelectual. Não há análise empírica quantitativa própria nem desenho de identificação causal sustentado pelo corpo do texto."
S0011-52582011000100004,agent_b,agent_b_v2+common_schema_v2,codex_subagent_inherited,2026-06-03T00:00:00Z,58e941253fc6a43a4554d8ba846c05e342c11f61f4d328317a31456cac07790b,data/processed/fulltext_gold/article_texts_gold.csv,,Welfare state e desenvolvimento,2011,Dados,No Error,Comparative Politics,FALSE,,,,,no_survey_data,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,FALSE,theoretical-normative,essayistic,"O artigo ""Welfare state e desenvolvimento"" é tratado como ensaio teórico, conceitual ou histórico-intelectual. Não há análise empírica quantitativa própria nem desenho de identificação causal sustentado pelo corpo do texto."
S0011-52582013000100006,agent_b,agent_b_v2+common_schema_v2,codex_subagent_inherited,2026-06-03T00:00:00Z,eb84717042d758315e7bfd4699d7c37f77a9155db81ef693a2157584422fe877,data/processed/fulltext_gold/article_texts_gold.csv,,Os alunos do ensino médio e Sciences Po: entre a meritocracia e a percepção das desigualdades,2013,Dados,No Error,Public Policy/Administration,FALSE,Describe,single_country,single_region,France,runs_original_survey,field_study,FALSE,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,FALSE,mixed,explicit,"O artigo ""Os alunos do ensino médio e Sciences Po: entre a meritocracia e a percepção das desigualdades"" é uma análise qualitativa, documental ou de campo. O método pode ser explícito, mas o texto não sustenta análise quantitativa própria nem desenho causal de identificação."
S0011-52582015000200461,agent_b,agent_b_v2+common_schema_v2,codex_subagent_inherited,2026-06-03T00:00:00Z,8ce4219c5aa10d661c7d114ae92f7825a07979562b4bffbcce8a717270ddecac,data/processed/fulltext_gold/article_texts_gold.csv,,"Continuidade, Ruptura ou Reciclagem? Uma Análise do Programa Político do Banco Mundial após o Consenso de Washington",2015,Dados,No Error,International Relations,FALSE,Describe,,,,no_survey_data,not_original,FALSE,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,FALSE,qualitative,essayistic,"O artigo ""Continuidade, Ruptura ou Reciclagem? Uma Análise do Programa Político do Banco Mundial após o Consenso de Washington"" é uma análise qualitativa, documental ou de campo. O método pode ser explícito, mas o texto não sustenta análise quantitativa própria nem desenho causal de identificação."
S0011-52582015000401131,agent_b,agent_b_v2+common_schema_v2,codex_subagent_inherited,2026-06-03T00:00:00Z,3e194fcc1bebe85e21ba3f74f872b3abb17cb032416cbee1d4025b86c6102a2b,data/processed/fulltext_gold/article_texts_gold.csv,,Organizar a Desordem: Raízes do Brasil em 1936,2015,Dados,No Error,Brazilian Politics,FALSE,Describe,single_country,,Brazil,no_survey_data,not_original,FALSE,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,FALSE,qualitative,essayistic,"O artigo ""Organizar a Desordem: Raízes do Brasil em 1936"" é uma análise qualitativa, documental ou de campo. O método pode ser explícito, mas o texto não sustenta análise quantitativa própria nem desenho causal de identificação."
S0011-52582017000200395,agent_b,agent_b_v2+common_schema_v2,codex_subagent_inherited,2026-06-03T00:00:00Z,d822081610c5da151412aa8a65fa6ff3d9138a891015aa7e8f80cc4aa394739d,data/processed/fulltext_gold/article_texts_gold.csv,,A Imprensa Brasileira e suas &#8220;Cruzadas Morais&#8221;: Análise dos Casos do Segundo Governo de Getúlio Vargas e do Primeiro Governo de Lula da Silva,2017,Dados,No Error,Brazilian Politics,FALSE,Describe,single_country,,Brazil,no_survey_data,structure_systematize,FALSE,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,FALSE,qualitative,explicit,"O artigo ""A Imprensa Brasileira e suas &#8220;Cruzadas Morais&#8221;: Análise dos Casos do Segundo Governo de Getúlio Vargas e do Primeiro Governo de Lula da Silva"" é uma análise qualitativa, documental ou de campo. O método pode ser explícito, mas o texto não sustenta análise quantitativa própria nem desenho causal de identificação."
