pid,title,title_en,authors,year,issn,journal_title,doi,document_type,language,source_method,source_url,input_hash,retrieved_at,body_char_count,body_word_count,abstract_char_count_expected,reference_tail_ratio,present_in_processed,pid_is_unique_in_processed,body_text_nonempty,source_provenance_ok,body_block_count,body_minimum_size_ok,body_has_min_blocks,body_substantially_larger_than_abstract,references_not_majority,body_not_frontmatter,validation_status,suspect_flags,nonblocking_flags
S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002","Economic fundamentals, financial markets, and voting preferences: the 1994, 1998, and 2002 Brazilian presidential elections",Lucio Rennó; Anthony P. Spanakos,2006,0011-5258,Dados,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582006000100002&tlng=pt,fa779440b1c8f2d875c696a70338512404c8cca6b40fec11cc727d6bca49f02b,2026-06-03T23:06:03Z,48648,7488,929,0,TRUE,TRUE,TRUE,TRUE,83,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0011-52582006000300002,"Max Weber, as múltiplas modernidades e a reorientação da teoria sociológica","Max Weber, multiple modernities and the re-orientation of social theory",Wolfgang Knöbl,2006,1678-4588,Dados,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582006000300002&tlng=pt,3870fe4f4af0d133002a4e4cd051dcde394b16cf4de2053ca612abcb09a0d0ba,2026-06-03T23:06:03Z,51115,7827,715,0,TRUE,TRUE,TRUE,TRUE,56,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0011-52582008000400005,O conceito de federalismo e a idéia de interesse no Brasil do século XIX,The concept of federalism and the notion of interest in 19th century Brazil,Ivo Coser,2008,0011-5258,Dados,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582008000400005&tlng=pt,fbf731dd79898c38256c0060333791925e36982fac610ea6204b4abd3c7362e1,2026-06-03T23:06:03Z,83078,12968,644,0,TRUE,TRUE,TRUE,TRUE,123,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0011-52582010000200002,O contextualismo linguístico na história do pensamento político: Quentin Skinner e o debate metodológico contemporâneo,Linguistic contextualism in the history of politic thought: Quentin Skinner and the contemporary methodological debate,Ricardo Silva,2010,0011-5258,Dados,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582010000200002&tlng=pt,9ee5d28bda03fd7f8c15d5be90278903b9288ea341fca0a7009f79d04519c382,2026-06-03T23:06:03Z,66881,10176,840,0,TRUE,TRUE,TRUE,TRUE,75,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0011-52582010000300002,Construção democrática e modelos de Constituição,Democracy-building and constitutional models,Rogério Bastos Arantes; Cláudio Gonçalves Couto,2010,1678-4588,Dados,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582010000300002&tlng=pt,2cef691dec3b63410a3e54a2b456896aed90ceecd7abb19a68f35443d4cc0d88,2026-06-03T23:06:03Z,77154,11225,794,0,TRUE,TRUE,TRUE,TRUE,92,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0011-52582011000100004,Welfare state e desenvolvimento,Welfare state e desenvolvimento,Celia Lessa Kerstenetzky,2011,1678-4588,Dados,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582011000100004&tlng=pt,6315652ec3e5c8843f7291acfa4b296ad4cd37cb3c31634c8019febff9cc6602,2026-06-03T23:06:03Z,53707,7790,517,0,TRUE,TRUE,TRUE,TRUE,92,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0011-52582013000100006,Os alunos do ensino médio e Sciences Po: entre a meritocracia e a percepção das desigualdades,The high school students and Sciences Po: between the meritocracy and the perception of inequality,Marco Oberti; Agathe Voisin,2013,0011-5258,Dados,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582013000100006&tlng=pt,1cff4816d6626e741fc1f0a3df253dd623abd556bdda06e6e84461e5eb7b0692,2026-06-03T23:06:04Z,58568,8921,861,0,TRUE,TRUE,TRUE,TRUE,108,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0011-52582015000200461,"Continuidade, Ruptura ou Reciclagem? Uma Análise do Programa Político do Banco Mundial após o Consenso de Washington","Continuity, Rupture or Recycling? An Analysis of the Political Agenda of the World Bank after the Washington Consensus",João Márcio Mendes Pereira,2015,1678-4588,Dados,10.1590/00115258201550,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582015000200461&tlng=pt,c3770c61811716788b12932c52ee017575a89e18e31def5ad01c0f4cb483fbb1,2026-06-03T23:06:04Z,70680,10738,991,0,TRUE,TRUE,TRUE,TRUE,97,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0011-52582015000401131,Organizar a Desordem: Raízes do Brasil em 1936,Organizing Disorder: Raízes do Brasil in 1936,Luiz Feldman,2015,0011-5258,Dados,10.1590/00115258201568,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582015000401131&tlng=pt,61923715e89bc588c5e66fd5bb34aaa7a92aecfb6ec12239edbbbf0a97604894,2026-06-03T23:06:04Z,79759,12412,924,0,TRUE,TRUE,TRUE,TRUE,85,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0011-52582017000200395,A Imprensa Brasileira e suas &#8220;Cruzadas Morais&#8221;: Análise dos Casos do Segundo Governo de Getúlio Vargas e do Primeiro Governo de Lula da Silva,The Brazilian Press and its &#8220;Moral Crusades&#8221;: An Analysis of Several Cases under President Getúlio Vargas&#8217; Second Term and President Lula da Silva&#8217;s First Term,Ariel Goldstein,2017,1678-4588,Dados,10.1590/001152582017124,research-article,es,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582017000200395&tlng=es,bd9002c9a348ef9163f81e6a4df979a7e55fc1e9b0e91df93378f65497afefe1,2026-06-03T23:06:04Z,76886,12245,918,0,TRUE,TRUE,TRUE,TRUE,149,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
