pid,title,journal_title,empirical_evidence_type,quantitative_analysis_type,tough_call_reason
S1981-38212020000200203,Benjamin Constant and the Combination of the Freedom of the Ancients with that of the Moderns,Brazilian Political Science Review,none,none,"The article performs close interpretive reading of primary political theory texts, which resembles qualitative textual analysis, but its object and contribution are conceptual and theoretical rather than empirical social-scientific analysis. I therefore classify it as non-empirical under the prompt's explicit exclusion of conceptual essays and purely theoretical articles."
S1981-38212015000100115,"Brazilian Congress, 2014 elections and governability challenges",Brazilian Political Science Review,quantitative_only,descriptive_statistics_only,"The article states that it does not intend to produce an empirical analysis of propositions, but it nonetheless presents the authors' own descriptive analysis and reanalysis of electoral and congressional composition data. The correct classification is therefore empirical quantitative descriptive, not non-empirical."
S1981-38212013000300001,"Government, political actors and governance in urban policies in Brazil and São Paulo: concepts for a future research agenda",Brazilian Political Science Review,none,none,"The article discusses São Paulo governance patterns and summarizes previous empirical studies, but it explicitly frames empirical analysis as future work and presents no original empirical evidence, methods, or data in this article."
S1981-38212010000100131,Private Security and the State in Latin America: the Case of Mexico City,Brazilian Political Science Review,mixed_empirical,descriptive_statistics_only,"The quantitative classification requires judgment because many numerical claims come from secondary sources, but the article also organizes official descriptive data in tables and computes descriptive comparisons such as public/private police ratios. This supports descriptive quantitative analysis, but only at a descriptive level."
S1981-38212007000100070,Relevant Factors for the Voting Decision in the 2002 Presidential Election: An Analysis of the ESEB (Brazilian Electoral Study) Data,Brazilian Political Science Review,quantitative_only,statistical_modeling,"The main decision requiring judgment is whether the contextual campaign narrative counts as qualitative evidence. Because the article does not present systematic interviews, documents, archival analysis, discourse analysis, or qualitative coding, I classify the empirical evidence as quantitative_only rather than mixed_empirical."
S1981-38212009000100011,Social Scientists and Public Administration in the Lula da Silva Government,Brazilian Political Science Review,quantitative_only,descriptive_statistics_only,"The main ambiguity is whether the article's explanatory hypothesis should trigger the credibility-revolution screen even though the quantitative analysis is purely descriptive. Because the hypothesis is explicitly tied to the authors' descriptive quantitative evidence, I screened it, but found no credibility-revolution method."
S1981-38212021000300702,"The Brazilian Conservative Wave, the Bolsonaro Administration, and Religious Actors",Brazilian Political Science Review,qualitative_only,none,"The article has no explicit methods section and relies heavily on interpretive synthesis and secondary references, but it still analyzes substantive historical and organizational evidence rather than remaining purely conceptual."
S1981-38212015000300021,The Elusive New Middle Class in Brazil,Brazilian Political Science Review,quantitative_only,statistical_modeling,"The introduction calls the approach essentially descriptive, but the results include statistical significance tests and hierarchical cluster analysis. Under the prompt schema, clustering used analytically counts as statistical modeling, so the article is not classified as descriptive-statistics-only."
S1981-38212007000200010,Transnational Social Movements and the Globalization Agenda: A Methodological Approach Based on the Analysis of the World Social Forum,Brazilian Political Science Review,qualitative_only,none,"The article is heavily theoretical and methodological, so the main ambiguity is whether its WSF discussion counts as empirical qualitative analysis or merely illustration. Because multiple sections substantively analyze the WSF and related movement practices as a case, it is classified as qualitative empirical rather than non-empirical."
S1981-38212013000100002,When is statistical significance not significant?,Brazilian Political Science Review,quantitative_only,bivariate_tests_or_correlations_only,"The article is primarily methodological and pedagogical, so its empirical analyses are illustrative rather than a substantive political science test. However, because it presents its own/reanalyzed quantitative correlations, simulations, p-values, and figures, it still qualifies as an empirical quantitative article under the broad Torreblanca-style rule."
S2236-57102023000100213,AVANÇOS TEÓRICOS DO CAMPO DE CONHECIMENTOS DA GESTÃO SOCIAL: UMA ANÁLISE INTEGRATIVA,Cadernos Gestão Pública e Cidadania,none,none,"O artigo usa um corpus bibliográfico e apresenta estatísticas descritivas sobre os artigos revisados, mas seu próprio objetivo e desenho são de revisão integrativa teórica. Pelo prompt, revisões de literatura sem análise empírica original substantiva não devem ser classificadas como artigos empíricos quantitativos ou qualitativos."
