pid,title,year,journal_title,url_scielo,n_pending,fields,first_fields,abstract_pt,abstract_en,brief_justification
S0011-52582017000200395,A Imprensa Brasileira e suas &#8220;Cruzadas Morais&#8221;: Análise dos Casos do Segundo Governo de Getúlio Vargas e do Primeiro Governo de Lula da Silva,2017,Dados,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582017000200395&lng=pt,8,error_in_raw_text; is_empirical_quant_paper; paper_uses_survey_data; paper_uses_survey_data; evidence_type; evidence_type; method_status; method_status,error_in_raw_text; is_empirical_quant_paper; paper_uses_survey_data; paper_uses_survey_data; evidence_type,"RESUMO A partir da análise de matérias, editoriais e outras seções dos jornais O Estado de São Paulo e O Globo, durante o segundo governo de Getúlio Vargas e o primeiro governo Lula, este artigo explora as características da chamada &#8220;moralização da política&#8221;, adotada pela imprensa em ambos os períodos. Neste sentido, defende-se que a estratégia de submeter os assuntos públicos à distinção entre &#8220;honestos&#8221; e &#8220;corruptos&#8221; tinha o intuito de esvaziar o debate público, com ênfase em acusações de corrupção voltadas para os governos e na ocultação da apropriação histórica das classes dominantes. Assim sendo, a imprensa contribuiria para a naturalização da ordem social no país. Por sua vez, com essa postura editorial, ambos os jornais viriam a favorecer nestes períodos a construção de cenários de intensas crises políticas que permearam esses governos.","ABSTRACT By means of an analysis of the contexts and debates in editorials and other sections of O Estado de S. Paulo and O Globo newspapers during Getúlio Vargas&#8217; second presidential term and Lula da Silva&#8217;s first presidential term, the following article explores the characteristics of what it terms the &#8220;moralization of politics&#8221; adopted by the press during both periods. In this sense, it is argued that the strategy of colonizing public matters with the distinction between &#8220;honest&#8221; and &#8220;corrupt&#8221; was aimed at silencing public debate, focusing the accusations of corruption on governments and concealing the historical appropriation of the ruling classes. The press was therefore complicit in naturalizing the social order in Brazil, with the two newspapers also favoring the shaping of political crisis scenarios so significant as to have rocked these governments.","Comparative analysis of media framing and moral crusades in Brazilian press (O Estado de S. Paulo, O Globo) during Vargas second government and Lula first government. Content analysis of editorials and news sections."
S1981-38212015000300021,The Elusive New Middle Class in Brazil,2015,Brazilian Political Science Review,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-38212015000300021&lng=pt,6,paper_uses_survey_data; evidence_type; method_status; single_region; effort_to_explore_mechanisms; main_variable_relationship,paper_uses_survey_data; evidence_type; method_status; single_region; effort_to_explore_mechanisms,"Against the background of the generalized reduction of poverty in the world, and particularly in Brazil, this article intends to gauge the socio-economic profile of Brazilian households that emerged from poverty and have been identified as integrating a ""new middle class"". Using indicators of standards of living from the 2008-2009 Survey on Family Budgets (POF/IBGE), we found out that, in contrast to what has been assumed on the basis of average income criteria, this social stratum is markedly heterogeneous, most of it being similar in their consumption patterns to the economically vulnerable or outright poor strata. So, we conclude that, from a sociological perspective that demands additional conditions besides income levels to identify social classes, it is a category mistake to call this social stratum a new middle class. We conjecture that this may be consequential in terms of policy priorities and choices.","Against the background of the generalized reduction of poverty in the world, and particularly in Brazil, this article intends to gauge the socio-economic profile of Brazilian households that emerged from poverty and have been identified as integrating a ""new middle class"". Using indicators of standards of living from the 2008-2009 Survey on Family Budgets (POF/IBGE), we found out that, in contrast to what has been assumed on the basis of average income criteria, this social stratum is markedly heterogeneous, most of it being similar in their consumption patterns to the economically vulnerable or outright poor strata. So, we conclude that, from a sociological perspective that demands additional conditions besides income levels to identify social classes, it is a category mistake to call this social stratum a new middle class. We conjecture that this may be consequential in terms of policy priorities and choices.","This is a descriptive empirical paper that uses survey microdata (POF 2008-2009) to characterize the socio-economic profile of Brazil's so-called 'new middle class' through consumption and living standard indicators. It does not estimate causal effects or seek determinants; rather, it challenges the classification of a particular income stratum as 'middle class' by showing their consumption patterns resemble vulnerable/poor strata more than traditional middle class. No regression models, causal claims, or identification strategies are employed -- the analysis is purely descriptive and classificatory."
S0102-64452005000100007,"O 18 Brumário, política e pós-modernismo",2005,Lua Nova: Revista de Cultura e Política,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64452005000100007&lng=pt,5,evidence_type; method_status; general_goal_of_analysis; single_country_study; effort_to_explore_mechanisms,evidence_type; method_status; general_goal_of_analysis; single_country_study; effort_to_explore_mechanisms,"A maioria das interpretações contemporâneas das análises de Karl Marx sobre a política européia da segunda metade do século XIX têm, em comum, a supressão de toda menção à ""economia"" e sua substituição, ou pela autonomia da política, nas versões heterodoxas, ou pelo caráter performativo da linguagem, nas versões pós-modernas. Neste artigo, sustenta-se que há n'O 18 Brumário de Luís Bonaparte uma interpretação da política que pode ser reduzida, do ponto de vista teórico, a dois princípios explicativos da concepção materialista da história: a primazia do econômico e a oposição entre essência e aparência. O artigo se propõe a verificar a incidência desses postulados naquele texto.","Most contemporary interpretations of Karl Marx's analyses of European politics of the second half of the nineteenth century share both the suppression of all references to the ""economy"" and its substitution either for the idea of the autonomy of the political (in heterodox views), or for the idea of the performative aspect of language (in post-modern views). This article argues that Marx's Eighteenth Brumaire of Louis Bonapart contains an interpretation of politics that can be reduced, from the theoretical point of view, to two explanatory principles of the materialist conception of history: the primacy of economics, and the opposition between essence and appearance. The article seeks to verify the incidence of these two fundamental propositions within that text.","Theoretical essay analyzing interpretations of Marx's Eighteenth Brumaire. No empirical data, no quantitative methods. The paper is a textual/hermeneutic analysis of a classic political text, arguing against postmodern and heterodox readings by demonstrating the persistence of two materialist explanatory principles in the original work."
S1981-38212013000200003,"Perceptions on justice, the judiciary and democracy",2013,Brazilian Political Science Review,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-38212013000200003&lng=pt,5,paper_uses_survey_data; single_region; uses_original_dataset; effort_to_explore_mechanisms; main_variable_relationship,paper_uses_survey_data; single_region; uses_original_dataset; effort_to_explore_mechanisms; main_variable_relationship,"The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","This is a descriptive empirical paper that uses original survey data from four Brazilian metropolitan regions to explore citizens' perceptions of justice, trust in the judiciary, and dissatisfaction with democracy. It does not employ a causal research design or make causal claims; rather, it describes and explores attitudinal patterns regarding the judicialization of politics in Brazil. The analysis is based on survey responses but the abstract does not indicate regression modeling, causal inference techniques, or significance testing. The paper's goal is to argue descriptively that discontent with political institutions extends to the judiciary, undermining the normative basis for judicialization."
S1981-38212020000200203,Benjamin Constant and the Combination of the Freedom of the Ancients with that of the Moderns,2020,Brazilian Political Science Review,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-38212020000200203&lng=pt,5,method_status; general_goal_of_analysis; single_country_study; single_region; effort_to_explore_mechanisms,method_status; general_goal_of_analysis; single_country_study; single_region; effort_to_explore_mechanisms,"The genesis of this article may be found in Benjamin Constant&#8217;s assertion, at the end of &#8216;The Liberty of Ancients Compared with that of Moderns&#8217;, that freedoms must be combined before they can be separated. Possible means to bring about such a union may be found in his works. First, he examines the need for action on the part of citizens and how such action could occur in modern conditions, both from the point of view of the individual and of class. The second part of the text analyzes how moral sentiment, patriotism and well-understood interests are the central components of a union that would guide both action and participation. The formal dimension of the combination of freedoms within institutions is explored, as well as the theoretical aspects of neutral republican power as contrasted with its monarchical counterpart. I conclude that, despite modern and liberal constraints, Constant does not completely abandon the republican tradition, expressed in the active life of citizen and institutions, in the fight against arbitrariness and in the defense of collective self-government by means of laws. This leads us to the observation that the neo-republican view of Constant as insensitive to participation in modernity is gravely limited.","The genesis of this article may be found in Benjamin Constant&#8217;s assertion, at the end of &#8216;The Liberty of Ancients Compared with that of Moderns&#8217;, that freedoms must be combined before they can be separated. Possible means to bring about such a union may be found in his works. First, he examines the need for action on the part of citizens and how such action could occur in modern conditions, both from the point of view of the individual and of class. The second part of the text analyzes how moral sentiment, patriotism and well-understood interests are the central components of a union that would guide both action and participation. The formal dimension of the combination of freedoms within institutions is explored, as well as the theoretical aspects of neutral republican power as contrasted with its monarchical counterpart. I conclude that, despite modern and liberal constraints, Constant does not completely abandon the republican tradition, expressed in the active life of citizen and institutions, in the fight against arbitrariness and in the defense of collective self-government by means of laws. This leads us to the observation that the neo-republican view of Constant as insensitive to participation in modernity is gravely limited.","This is a political theory article that performs an interpretive reading of Benjamin Constant's writings on ancient and modern liberty. It engages exclusively with textual and philosophical analysis of primary sources and secondary literature in the republican and liberal traditions. There are no data, no quantitative methods, no empirical claims, and no causal inferences. The article's contribution is entirely normative and hermeneutic."
S0102-85292021000100199,"Vinte anos da Colonialidade do Poder, Eurocentrismo e América Latina de Aníbal Quijano",2021,Contexto Internacional,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292021000100199&lng=pt,5,method_status; general_goal_of_analysis; single_country_study; single_region; effort_to_explore_mechanisms,method_status; general_goal_of_analysis; single_country_study; single_region; effort_to_explore_mechanisms,"Resumo Aníbal Quijano foi um dos teóricos sociais latino-americanos mais astutos e decididos da segunda metade do século 20. Seus ensaios pioneiros sobre a &#8216;Colonialidade do Poder&#8217; não só inspiraram o projeto da Modernidade/Colonialidade/Decolonialidade, como também influenciaram inúmeros intelectuais e ativistas não necessariamente envolvidos na chamada &#8216;Virada Decolonial.&#8217; Embora Quijano não tenha deixado um texto no qual todas as características de sua teoria sobre &#8216;Colonialidade&#8217; sejam sistematizadas, pode-se supor que o extenso ensaio &#8216;Colonialidade do Poder, Eurocentrismo e América Latina,&#8217; publicado pela primeira vez nos anos 2000, pretendia fornecer uma visão geral do seu pensamento. O objetivo deste fórum é debater criticamente o legado do sociólogo peruano durante um período que o próprio Quijano posteriormente descreveu como a &#8216;crise da raiz da colonialidade do poder global.&#8217; Na primeira seção, José Gandarilla apresenta os antecedentes e precursores latino-americanos do uso do termo &#8216;Colonialidade.&#8217; Em seguida, Haydeé García reflete sobre a perspectiva interdisciplinar em Aníbal Quijano, o peso da totalidade e suas articulações históricas. Finalmente, Daniele Benzi abre e discute algumas questões a respeito do &#8216;capitalismo colonial/moderno e eurocentrado&#8217; através da perspectiva da Sociologia Macro-Histórica.","Abstract Aníbal Quijano has been one of the most astute and purposeful Latin American social theorists of the second half of the 20th century. His pioneering essays on the &#8216;Coloniality of Power&#8217; not only inspired the project of Modernity/Coloniality/Decoloniality, but have also influenced countless intellectuals and activists who were not necessarily involved in the so-called &#8216;Decolonial Turn.&#8217; While Quijano has not left behind a text in which all of the characteristics of his theory on &#8216;Coloniality&#8217; are systematised, it can be argued that the lengthy essay &#8216;Coloniality of Power, Eurocentrism and Latin America,&#8217; published for the first time twenty years ago, was intended to provide such an overview of his thought. The purpose of this forum is to critically debate the legacy of the Peruvian sociologist during a period which Quijano himself later described as the &#8216;Root Crisis of the Coloniality of Global Power.&#8217; In the first section, José Gandarilla presents the Latin American antecedents and precursors of the use of the term &#8216;Coloniality.&#8217; Next, Haydeé García reflects on the interdisciplinary perspective in Aníbal Quijano, the weight of totality, and its historical articulations. Finally, Daniele Benzi opens up and addresses some queries regarding &#8216;colonial/modern and Eurocentered capitalism,&#8217; from the perspective of macro-historical sociology.","This is a purely theoretical forum article comprising three essays that critically discuss Aníbal Quijano's concept of 'Coloniality of Power' on its twentieth anniversary. It contains no quantitative data, no statistical analysis, no empirical methods, and no causal claims. The article engages in intellectual history, interdisciplinary reflection, and macro-historical sociology from a conceptual perspective."
S0102-85292023000100200,"Hegemonia, criação de consenso e colonização pedagógica: Novas formas de ingerência externa?",2023,Contexto Internacional,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292023000100200&lng=pt,5,evidence_type; method_status; general_goal_of_analysis; single_region; effort_to_explore_mechanisms,evidence_type; method_status; general_goal_of_analysis; single_region; effort_to_explore_mechanisms,"Resumo Este estudo é um esforço teórico para repensar as Relações Internacionais a partir da perspectiva da Teoria Crítica Neo-Gramsciana na qual seu objeto empírico é a hegemonia dos EUA no âmbito da América Latina. Mais especificamente, este estudo refere-se à fabricação de um consenso dirigido por uma classe dominante americana através de seu próprio veículo para isso &#8211; a Rede Atlas &#8211; que encontra legitimidade e apoio em suas contrapartes latino-americanas. Com base em dados primários, documentos públicos e bibliografia especializada, este estudo visa contribuir para repensar as Relações Internacionais usando este instituto como objeto de relação empírica com o estudo teórico. Mais do que apresentar estratégias de dominação através de aparelhos privados de hegemonia, este estudo nos incentiva a refletir sobre práticas e conceitos relativamente esquecidos (ou marginalizados) nas Relações Internacionais, como o imperialismo, a hegemonia e o papel da construção de consensos. Finalmente, ele contribui para, a partir da Teoria Crítica, compreender o papel das classes dominantes na criação de consenso nos países e classes subalternos para manter esta mesma estrutura hegemônica.","Abstract This study is a theoretical effort to rethink International Relations from the perspective of Neo-Gramscian Critical Theory in which its empirical object is the US hegemony in the scope of Latin America. More specifically, this study refers to the fabrication of consensus directed by an American ruling class through its own vehicle for this &#8211; the Atlas Network &#8211; which finds legitimacy and support in its Latin American counterparts. Based on primary data, public documents, and specialised bibliography, this study aims to contribute to the rethinking of International Relations using this institute as an object of empirical relation to theoretical study. More than presenting domination strategies through private hegemony apparatus, this study encourages us to reflect on relatively forgotten (or marginalised) practices and concepts in International Relations, such as imperialism, hegemony, and the role of consensus building. Finally, from Critical Theory, it contributes to understand the role of ruling classes in the creation of consensus in subaltern countries and classes to maintain this same hegemonic structure.","This is a theoretical paper grounded in Neo-Gramscian Critical Theory that examines US hegemony and consensus fabrication in Latin America through the Atlas Network. It relies on primary documents, public records (e.g., Atlas Network Form 990 filings), and specialized bibliography. It contains no quantitative analysis, no statistical tables, no figures, and no equations. The paper is fundamentally a qualitative-theoretical contribution to International Relations, not an empirical quantitative study."
S0011-52582024000400209,Entre a Desinstitucionalização e a Resiliência: Participação Institucional no Governo Bolsonaro,2024,Dados,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582024000400209&lng=pt,5,evidence_type; method_status; uses_original_dataset; effort_to_explore_mechanisms; main_variable_relationship,evidence_type; method_status; uses_original_dataset; effort_to_explore_mechanisms; main_variable_relationship,"Resumo Nosso objetivo é caracterizar a desinstitucionalização impulsionada pelo governo Bolsonaro e aferir seus alcances sobre os conselhos. Oferecemos um diagnóstico empírico da situação regulatória de 103 colegiados nacionais, a partir de base de dados original. Argumentamos que as medidas do governo não geram efeitos homogêneos e que variam em função de dois fatores: i) aspreferências do governo em relação aos conteúdos das políticas públicas; ii) a resiliência dos conselhos. A resiliência, é resultado da combinação de duas dimensões, desenvolvidas em uma tipologia analítica: o desenho institucional e sua inserção nas respectivas comunidades de políticas. Concluímos que os conselhos mais afetados em seu funcionamento estão relacionados às políticas cuja pauta é contrária àquela do governo Bolsonaro e que possuem menor resiliência, considerada em suas duas dimensões. Proporcionalmente, meio ambiente foi a área mais atingida pela revogação. Já direitos humanos e políticas sociais sofreram mais alterações substantivas. Por sua vez, a área de desenvolvimento econômico e infraestrutura foi a menos afetada, face ao maior alinhamento com as preferências do governo, mesmo contando com colegiados com menor resiliência.","Abstract This study aims at characterizing the deinstitutionalization prompted by the Bolsonaro government and assessing its impact over participatory councils. It provides an empirical diagnosis of the regulatory situation of 103 national collegial bodies, based on an original database. It argues that the government measures do not result in homogeneous effects and can vary according to two factors: i) the government´s preferences in policy content; ii) the councils&#8217; resilience. It proposes an analytical typology of resilience based on the interaction between two dimensions: institutional design and councils&#8217; degree of insertion in their respective policy communities. Considering both dimensions, it concludes that councils whose performance was the most affected were the ones related to policies whose agenda is contrary to that of the Bolsonaro&#8217;s government, and displaying less resilience. In proportion, the environment policy area was the most affected by revocations. Human rights and social policies underwent more substantive changes. In turn, the economic development and infrastructure area was less affected, due to its greater alignment to the government&#8217;s preferences, even though its collegial bodies were less resilient.","Mixed-methods study of 103 Brazilian federal participatory councils under Bolsonaro (2019-2022). Uses original legal/administrative dataset to classify councils by normative and activity status across policy areas. Develops a typology of institutional resilience based on design strength and policy community insertion. Primarily descriptive/typological with qualitative comparative logic rather than formal quantitative causal inference. Implicit causal claims about government preferences and institutional design driving differential deinstitutionalization, but no regression models, statistical tests, or formal causal design."
S0102-85292006000100007,O local e o global na estrutura da política ambiental internacional: a construção social do acidente químico ampliado de Bhopal e da Convenção 174 da OIT,2006,Contexto Internacional,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292006000100007&lng=pt,4,method_status; general_goal_of_analysis; single_country_study; effort_to_explore_mechanisms,method_status; general_goal_of_analysis; single_country_study; effort_to_explore_mechanisms,"Neste artigo, adota-se a abordagem construtivista das Relações Internacionais (RI) para analisar o impacto normativo internacional do acidente químico de Bhopal, privilegiando-se o papel constitutivo da ação humana na Política Ambiental Internacional (PAI). Emprega-se articulação de conceitos construtivistas, útil na visualização da estrutura em que está inserido o evento local e, também, do processo de construção social tanto do evento quanto da norma internacional que precipitou.O pressupostoéodeque prevalece a co-constituição entre estruturas e agentes - responsáveis pela construção social do evento-ede que, portanto, não se pode prescindir desses elementos, tampouco dos elos que os unem. Almeja-se, por um lado, compreender a maneira pela qual o evento local é construído socialmente, tendo por referência a estrutura de idéias e de normas, referidas à proteção ambiental e ao desenvolvimento sustentável; e, por outro, como a ocorrência local gera impactos políticos, sociais e normativos em nível global. Assim, evidenciam-se elementos de globalidade, pertencentes ao evento local, sobretudo quando se verifica um processo de amadurecimento ideacional e normativo que tem como marcos políticos a Conferência de Estocolmo sobre o Meio Ambiente Humano de 1972 e a Conferência das Nações Unidas sobre Desenvolvimento e Meio Ambiente, ocorrida no Rio de Janeiro, em 1992. Assim, destaca-se o contexto cultural e institucional da cena ambiental como um todo, evidenciando-se o veio condutor do processo de construção social enfocado: a relação local/global na área ambiental. Focaliza-se, também, o papel da Organização Internacional do Trabalho (OIT) como agência líder na discussão internacional da segurança química a fim de indicar por que a construção normativa enfocada se verifica no fórum daquela Organização Internacional (OI).","The present article utilizes the constructivist approach of International Relations (IR) to analyze the international normative impact of the Bhopal chemical accident, focusing on the constitutive role of the human action on the International Environmental Politics (IEP). It adopts an articulation of constructivist concepts, useful to visualize the structure in which the local event is embedded, as well as the social construction process of either the event and the international norm launched. The assumption is that a co-constitution relation between structure and agents, who are responsible for the social construction of the event, is preponderant and that, consequently, it is impossible to exclude these elements or their connecting links from the analysis. The article aims at understanding, on the one hand, the way in which the event is socially constructed, referring to the ideational and normative structure of environmental protection and sustainable development; and, on the other, how the local event produces political, social and normative impact at international level. As a result, the global features of local events become evident, specially considering the ideational and normative fulfillment of an environment consciousness, whose political milestones are the Stockholm 1972 United Nations Conference on the Human Environment and the 1992 United Nations Conference on Environment and Development, held in Rio de Janeiro. Therefore, the article emphasizes the cultural and institutional environmental context as whole, pointing out the local/global relationship. It also focuses on the role of the International Labour Organization (ILO) as a leader agency in the chemical safety field, in an attempt to indicate why the normative construction process has taken place on the forum of that International Organization (IO).","This is a qualitative constructivist International Relations paper that analyzes the social construction of the Bhopal chemical disaster and its normative impact leading to ILO Convention 174. It employs no quantitative methods, datasets, or statistical analysis. The paper uses theoretical interpretation (constructivism, co-constitution of agents and structures) and historical/documentary analysis of international environmental norms, conferences (Stockholm 1972, Rio 1992), and the role of ILO. It is a single-case interpretive study in the IR subfield of International Environmental Politics."
S0102-64452006000300005,Bobbio na história das idéias democráticas,2006,Lua Nova: Revista de Cultura e Política,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64452006000300005&lng=pt,4,method_status; general_goal_of_analysis; single_country_study; effort_to_explore_mechanisms,method_status; general_goal_of_analysis; single_country_study; effort_to_explore_mechanisms,"Norberto Bobbio tem duas inserções fundamentais na teoria da democracia. Uma como teórico da democracia ética e participativa, em seu período acionista - em que pertencia ao Partido da Ação, nos anos 40 do século passado; e outra, como teórico do procedimentalismo democrático, a partir de meados da década de 1950. Cada uma dessas formas particulares de concepção do regime democrático insere-se em tradições diferentes no âmbito da referida teoria. Este artigo tenta mostrar quais são essas tradições e o modo particular de inserção de ambas as concepções do autor no interior das mesmas.","Norberto Bobbio has two fundamental insertions in democratic theory. One, as a thinker of participative democracy, in his actionist period - when he was a member of the Party of Action, in the forties of the last century; the other, as a thinker of democratic proceduralism, since the middle of the fifties. Each of those particular forms of democratic regime conceptions inserts itself in different traditions. This article intents to situate those traditions and the particular way that Bobbio’s conceptions cross with them.","This is a political theory article that analyzes Norberto Bobbio's intellectual trajectory through close reading of his texts and secondary literature. It traces his shift from ethical-participatory democracy (1940s actionist period) to procedural democracy (post-1955), situating both within broader traditions of democratic thought. No empirical data, no quantitative methods, and no causal claims are present. The method is interpretive analysis of published works and intellectual history."
