pid,title,journal_title,journal_area,year,period_3,eligible_order,credibility_revolution_method_present,method_type,causal_design_quote,tough_call_reason,method_class
S1981-38212007000100102,Career Choice and Legislative Reelection: Evidence from Brazil and Colombia,Brazilian Political Science Review,Ciência Política,2007,2005-2011,4,FALSE,observational_regression_with_causal_claim_no_design,"We estimated all of our models using Random-Effects Probit regression, which accounts for the panel structure of our data when estimating standard errors.","The article has strong explanatory language and statistical modeling, but it relies on observational random-effects probit regressions and interaction comparisons without a design-based identification strategy, so it should not be counted as a credibility-revolution method.",diagnostic_not_design
S1981-38212007000200074,Women and Candidate Quality in the Elections for the Senate: Brazil and the United States in Comparative Perspective,Brazilian Political Science Review,Ciência Política,2007,2005-2011,6,FALSE,observational_regression_with_causal_claim_no_design,These questions will be addressed through a probit analysis (Table 6).,"The article uses explanatory language and statistical models, but it does not present a design-based causal identification strategy. The appropriate credibility-revolution coding is therefore observational regression with causal or explanatory claims but no credibility-revolution method.",diagnostic_not_design
S1981-38212007000200108,Rethinking State Politics: The Withering of State Dominant Machines in Brazil,Brazilian Political Science Review,Ciência Política,2007,2005-2011,7,FALSE,observational_regression_with_causal_claim_no_design,"Even though simple correlations are a limited strategy of causal assessment, the results shown in the table 10 provide a strong indication that federal social spending was an important factor behind the electoral growth of the PT and other leftwing organizations in the least-competitive states, in parallel with the decay of state political machines.","The paper combines typological qualitative comparison with quantitative factor analysis and correlations. Its causal explanation is substantive, but the article itself notes that the Bolsa Família evidence rests on simple correlations, so it should be screened but not counted as a credibility-revolution design.",diagnostic_not_design
S1981-38212008000100010,Personal Networks and Urban Poverty: Preliminary Findings,Brazilian Political Science Review,Ciência Política,2008,2005-2011,9,FALSE,none_detected,NA,"The quantitative classification is clear because the article uses K-means clustering analytically, but the causal screening is a judgment call because the article uses explanatory language about determinants and impact while presenting preliminary observational and typological analysis without an identification design.",diagnostic_not_design
S1981-38212008000100057,Brazilian Democracy and the Power of &#8220;Old&#8221; Theories of Party Competition,Brazilian Political Science Review,Ciência Política,2008,2005-2011,11,FALSE,none_detected,NA,"The article is written as an essay using established theories rather than as a conventional methods-driven empirical article. The quantitative classification rests on the author's tables, graphs, percentages, indexes, and especially reported correlations; the qualitative classification rests on case-based historical and policy interpretation rather than interviews, archives, or formal qualitative methods.",diagnostic_not_design
S1981-38212008000100077,Women in Upper Houses: A Global Perspective,Brazilian Political Science Review,Ciência Política,2008,2005-2011,12,FALSE,observational_regression_with_causal_claim_no_design,"The model is executed in two steps, expressed by two equations, whose errors are related.",NA,diagnostic_not_design
S1981-38212008000200074,Policy Positions in the Chilean Senate: An Analysis of Coauthorship and Roll Call Data,Brazilian Political Science Review,Ciência Política,2008,2005-2011,16,FALSE,none_detected,NA,"The article contains explanatory language and uses statistical modeling, but the models are spatial-scaling and network-position analyses rather than causal identification designs; therefore it passes the screen but has no credibility-revolution method.",diagnostic_not_design
S1981-38212008000200093,"Justice, Professionalism, and Politics in the Exercise of Judicial Review by Brazil's Supreme Court",Brazilian Political Science Review,Ciência Política,2008,2005-2011,17,FALSE,observational_regression_with_causal_claim_no_design,NA,"The article uses logistic regression and explanatory language about factors influencing decisions, but it does not articulate a design-based causal identification strategy. I therefore screen it for credibility-revolution methods but classify the method as observational regression with causal or explanatory claims and no credibility-revolution design.",diagnostic_not_design
S1981-38212009000200127,"Political Parties, Foreign Policy and Ideology: Argentina and Chile in Comparative Perspective",Brazilian Political Science Review,Ciência Política,2009,2005-2011,27,FALSE,none_detected,NA,"The article uses statistical modeling through NOMINATE and makes explanatory claims about party ideology, so it must be screened, but it does not use a design-based causal identification strategy or report inferential uncertainty in the body text provided. It also has a qualitative component based on plenary stenographical notes, but the provided body summarizes that component rather than reproducing detailed qualitative evidence.",diagnostic_not_design
S1981-38212010000100010,"Electoral Success and Political Institutionalization in the Federal Deputy Elections in Brazil (1998, 2002 and 2006)",Brazilian Political Science Review,Ciência Política,2010,2005-2011,28,FALSE,observational_regression_with_causal_claim_no_design,"For a more effective evaluation, we have created a model of regression in order to measure the impact of several political, demographic and societal variables on the chances of electoral success","The article repeatedly uses language of variables affecting or increasing chances of electoral success, and it estimates logistic regressions, but it does not articulate a design-based identification strategy; therefore this is screened but coded as observational regression with causal/explanatory claims and no credibility-revolution design.",diagnostic_not_design
S1981-38212010000100033,Judicialization of Health Policy in the Definition of Access to Public Goods: Individual Rights versus Collective Rights,Brazilian Political Science Review,Ciência Política,2010,2005-2011,29,FALSE,none_detected,NA,"The article's quantitative analysis is purely descriptive, but it uses those descriptive findings to support explanatory claims about judicial interference and distributional effects. I therefore screened it for credibility-revolution methods while classifying no such method as present.",diagnostic_not_design
S1981-38212010000200078,The Decreasing Political Rewards of Education in Brazil,Brazilian Political Science Review,Ciência Política,2010,2005-2011,35,FALSE,observational_regression_with_causal_claim_no_design,NA,"The article foregrounds descriptive time-series graphs in this article, but it also explicitly reports correlations, logistic regressions, inferential tests, and multivariate statistical tests. It therefore goes beyond descriptive statistics, while still lacking a design-based causal identification strategy.",diagnostic_not_design
S1981-38212011000100054,Brazilian Parties According to their Manifestos: Political Identity and Programmatic Emphases,Brazilian Political Science Review,Ciência Política,2011,2005-2011,39,FALSE,none_detected,NA,"The main ambiguity is whether to code the quantitative analysis as descriptive only or bivariate/inferential. Because the article reports an association test, residual analysis under a null hypothesis of independence, and a statistically significant Cohen's kappa reliability test, it goes beyond descriptive statistics, but it does not use multivariable statistical modeling.",diagnostic_not_design
S1981-38212011000100077,Euroskepticism in European National Elections: The Rise of Voter Support for New Radical Right Parties,Brazilian Political Science Review,Ciência Política,2011,2005-2011,40,FALSE,fixed_effects_causal_panel_claim,A set of econometric exercises using 1990-2006 panel data with fixed effects was determined to have “support for ERPs” as the dependent variable.,"The article uses fixed-effects panel models and explanatory language about the impact of representation on ERP support, but it does not present treatment timing, treated/control comparisons, parallel-trends logic, or another explicit design-based identification strategy. Therefore it is screened but not classified as having a credibility-revolution method.",diagnostic_not_design
S1981-38212011000100077,Euroskepticism in European National Elections: The Rise of Voter Support for New Radical Right Parties,Brazilian Political Science Review,Ciência Política,2011,2005-2011,40,FALSE,observational_regression_with_causal_claim_no_design,A set of econometric exercises using 1990-2006 panel data with fixed effects was determined to have “support for ERPs” as the dependent variable.,"The article uses fixed-effects panel models and explanatory language about the impact of representation on ERP support, but it does not present treatment timing, treated/control comparisons, parallel-trends logic, or another explicit design-based identification strategy. Therefore it is screened but not classified as having a credibility-revolution method.",diagnostic_not_design
S1981-38212011000100105,Public Attitudes towards Parties in Portugal: A Longitudinal Overview,Brazilian Political Science Review,Ciência Política,2011,2005-2011,41,FALSE,none_detected,NA,NA,diagnostic_not_design
S1981-38212011000200039,Independence after Delegation? Presidential Calculus and Political Interference in Brazilian Regulatory Agencies,Brazilian Political Science Review,Ciência Política,2011,2005-2011,43,FALSE,observational_regression_with_causal_claim_no_design,"""the inference method used here is a panel, linear model with random effects""","The article makes explanatory claims and uses random-effects panel regression, but it also describes the analysis as exploratory and does not articulate a design-based causal identification strategy; therefore it should be screened but not coded as using a credibility-revolution method.",diagnostic_not_design
S1981-38212011000200094,Federalism and Public Resources in Brazil: Federal Discretionary Transfers to States,Brazilian Political Science Review,Ciência Política,2011,2005-2011,45,FALSE,observational_regression_with_causal_claim_no_design,"though we were unable to establish a causal relation, the data suggest that the amount of resources... depend on the political relation with the governor","The paper uses institutional and legal background and explanatory language, but its original empirical analysis is quantitative regression. I classify it as quantitative_only because the institutional discussion is contextual rather than a qualitative empirical design; I classify the causal-method field as observational regression without a credibility design because the authors explicitly disclaim causal identification.",diagnostic_not_design
S1981-38212012000100053,Empirical Determinants of Government Efficiency: A Study Based on Objective Indicators,Brazilian Political Science Review,Ciência Política,2012,2012-2018,49,FALSE,observational_regression_with_causal_claim_no_design,"In order to be able to trust our results, we wanted to confirm if we had major endogeneity issues with our variables. We used the Hausman test for endogeneity","The Endogeneity issues section mentions instruments and Hausman tests, but the text presents them as diagnostics for possible endogeneity in observational regressions rather than as a full instrumental-variables causal identification design estimating treatment effects. Therefore the article passes the screen but is coded as observational regression with causal or explanatory claims and no credibility-revolution design.",diagnostic_not_design
S1981-38212012000100070,Trust and Political Information: Attitudinal Change in Participants in the Youth Parliament in Brazil,Brazilian Political Science Review,Ciência Política,2012,2012-2018,50,TRUE,difference_in_differences,"""To answer this question, we used the method of ‘difference in difference.’ The variables used were derived by subtracting the values at time 1 (before the YP) from values at time 2 (after the YP took place) for each of the two groups (treatment and control).""","The article explicitly invokes quasi-experimental logic and difference in difference, but the body text also states that the data do not allow a direct causal test of whether political information caused increased confidence. This creates ambiguity for the mechanism claim, though not for the presence of a difference-in-difference-style causal design for program effects.",strict_design_method
S1981-38212012000200002,"The Bigger, the Better: Coalitions in the GATT/WTO",Brazilian Political Science Review,Ciência Política,2012,2012-2018,54,FALSE,observational_regression_with_causal_claim_no_design,"Using a Bayesian probit model, we fit a model with scope and the log of coalition size as our predictors.","The article uses causal language and within-case mechanism analysis, but its quantitative analysis is observational Bayesian modeling without a design-based identification strategy; therefore it passes the screen but does not contain a credibility-revolution method.",diagnostic_not_design
S1981-38212012000200003,Political Competition and the Diffusion of Conditional Cash Transfers in Brazil,Brazilian Political Science Review,Ciência Política,2012,2012-2018,55,FALSE,observational_regression_with_causal_claim_no_design,"Like any other academic work, the present study, when using a statistical model to define the causal relationship between variables, can be omitting an important covariable.","The qualitative component is present but less systematically documented than the quantitative models, and the article uses causal language with Cox and logit models but does not provide a design-based causal identification strategy. I therefore classify it as mixed empirical with observational regression-style causal claims, not as a credibility-revolution method.",diagnostic_not_design
