pid,title,journal_title,classification_input_text_hash,is_empirical_paper,empirical_evidence_type,is_empirical_quant_paper_torreblanca,is_empirical_qual_paper,quantitative_analysis_type,quantitative_analysis_evidence_quote,has_statistical_inference,statistical_inference_quote,qualitative_analysis_goal,qualitative_goal_clarity,qualitative_goal_quote,causal_or_explanatory_claim_present,causal_or_explanatory_claim_quote,credibility_revolution_screen_applicable,credibility_revolution_screen_reason,credibility_revolution_method_present,credibility_revolution_method_type,causal_design_quote,main_variables_or_relationship,sample_or_data_source,tough_call,tough_call_reason,brief_justification,sample_or_data_source_present,manifest_input_text_hash,eligible_order,year,period_3,journal_area,manifest_journal_title,document_type,language,body_word_count,fulltext_validation_status,pilot_exclusion_policy,scope_exclusion_policy,strict_design_method,diagnostic_not_design,other_modern_causal_method,inclusive_design_or_other_modern
S1981-38212007000100010,"Going Home in Peace: The Economy of Virtues, and Apathy as a Right",Brazilian Political Science Review,9ab98ef2eff09dcac7f54d7cbe55b5cfe6d6a715056729717b4f902b80952f94,FALSE,none,FALSE,FALSE,none,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,not_empirical,NA,NA,NA,"Normative and theoretical relationship between political apathy or abstention, civic virtue, informational asymmetry, democratic participation, and the right not to participate.",NA,FALSE,NA,"The article is a conceptual and normative essay. It discusses political theory, modernization, rational-choice voting theory, and the swing voter's curse, but it does not analyze original empirical evidence, conduct original quantitative analysis, use substantive qualitative evidence, report statistical inference, or present any credibility-revolution causal design.",FALSE,9ab98ef2eff09dcac7f54d7cbe55b5cfe6d6a715056729717b4f902b80952f94,1,2007,2005-2011,Ciência Política,Brazilian Political Science Review,research-article,en,5613,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,FALSE,FALSE,FALSE,FALSE
S1981-38212007000100025,Europe Debates Its Destiny,Brazilian Political Science Review,9e10e4a9b38c9b06c8a7a2f1e55b009ba4150ce60796b3b0f586233eafc3bc86,TRUE,qualitative_only,FALSE,TRUE,none,NA,NA,NA,mixed_descriptive_explanatory,clear,"I propose to reconstruct the main events surrounding and conditioning the popular and parliamentary voting processes, along with the arguments both pro and con dividing the continent's governments and populations.",TRUE,"This distance between government and society opens an initial avenue for reflection, showing the weight of domestic issues in determining the negative popular votes on the European Constitutional Treaty",FALSE,qualitative_only,NA,NA,NA,"The article analyzes how EU enlargement, constitutionalization, domestic political grievances, democracy and legitimacy concerns, and social-economic fears shaped the debate and rejection of the European Constitutional Treaty.","Historical and political reconstruction based on EU treaty debates, enlargement episodes, referendum outcomes in France, the Netherlands and other member states, political speeches, institutional documents, and secondary scholarly and journalistic sources.",FALSE,NA,"The article is an empirical qualitative historical-institutional analysis of the European Constitutional Treaty crisis. It reconstructs events and arguments using substantive political evidence, but it does not conduct original quantitative analysis or statistical inference. Its explanatory claims are qualitative and interpretive, with no credibility-revolution causal design.",TRUE,9e10e4a9b38c9b06c8a7a2f1e55b009ba4150ce60796b3b0f586233eafc3bc86,2,2007,2005-2011,Ciência Política,Brazilian Political Science Review,research-article,en,12365,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,FALSE,FALSE,FALSE,FALSE
S1981-38212007000100053,Tradition and Diversification in the Uses and Definitions of the Law: A Proposed Analysis,Brazilian Political Science Review,653609779402bf4755aabec6f3fcceecdcf7e8c565edeabb87ac752b9fbf3395,FALSE,none,FALSE,FALSE,none,NA,NA,NA,NA,NA,NA,TRUE,The key question in understanding the factors conditioning these processes of political mobilisation of the jurists of State lies in the relationship between the social diversification of their recruitment and these new agents’ dispositions activated in several uses of the Law and of the legal professions.,FALSE,not_empirical,NA,NA,NA,"The proposed relationship is between diversification in jurists' social, political, and geographic origins, institutional autonomization of legal careers and teaching, and the emergence of new social, critical, and activist uses of law in Brazil after democratization.",NA,TRUE,"The body text references Table 1 and Table 2 and mentions an analysis of authors involved in curriculum reform, which creates some ambiguity. Because the provided text does not include table contents or report a systematic original empirical procedure, these references are treated as illustrative support within a conceptual framework rather than as original empirical analysis.","The article is a framework-building and literature-based analysis of transformations in the Brazilian legal field. It contains explanatory propositions and secondary empirical references, but no original quantitative analysis, no substantive original qualitative evidence, no statistical inference, and no credibility-revolution causal design.",FALSE,653609779402bf4755aabec6f3fcceecdcf7e8c565edeabb87ac752b9fbf3395,3,2007,2005-2011,Ciência Política,Brazilian Political Science Review,research-article,en,5246,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,FALSE,FALSE,FALSE,FALSE
S1981-38212007000100102,Career Choice and Legislative Reelection: Evidence from Brazil and Colombia,Brazilian Political Science Review,d6b7d6bbf29d589ec3d072d2b0f8da20c480a18f4cdc0c5079e6394ca5b30532,TRUE,mixed_empirical,TRUE,TRUE,statistical_modeling,"We estimated all of our models using Random-Effects Probit regression, which accounts for the panel structure of our data when estimating standard errors.",TRUE,The coefficients and their respective standard errors for the interaction terms will allow us to verify the direction of the differences and the efficiency and ‘generalizability’ of the findings.,mixed_descriptive_explanatory,clear,Institutional minutiae in the electoral system increase the similarities between the two countries.,TRUE,The main goal of the empirical analysis is to test the extent to which Brazilian and Colombian legislators behave similarly given the differences in the electoral systems in the two countries.,TRUE,statistical_modeling_screen,FALSE,"[""observational_regression_with_causal_claim_no_design""]","We estimated all of our models using Random-Effects Probit regression, which accounts for the panel structure of our data when estimating standard errors.","The article analyzes how electoral competition, traditional-party membership, number of parties, committee chairmanship, and legislative productivity relate to incumbents' decisions to run for reelection and their success in winning reelection in Brazil and Colombia.","Individual titular deputies in Brazil's 50th and 51st legislatures, elected in 1998 and 2002, and Colombia's 1994 and 1998 congresses, using electoral results and legislative performance data.",TRUE,"The article has strong explanatory language and statistical modeling, but it relies on observational random-effects probit regressions and interaction comparisons without a design-based identification strategy, so it should not be counted as a credibility-revolution method.","The paper is an empirical mixed-methods study: it combines qualitative institutional analysis of Brazilian and Colombian electoral systems with original quantitative analysis of incumbent career choices and reelection outcomes. The quantitative component uses random-effects probit regression and statistical inference, but no experiment, DiD, IV, RDD, synthetic control, matching, or comparable causal identification design is present.",TRUE,d6b7d6bbf29d589ec3d072d2b0f8da20c480a18f4cdc0c5079e6394ca5b30532,4,2007,2005-2011,Ciência Política,Brazilian Political Science Review,research-article,en,8149,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,FALSE,TRUE,FALSE,FALSE
S1981-38212007000200040,The Veto Power of Sub-national Governments in Brazil: Political Institutions and Parliamentary Behaviour in the Post-1988 Period,Brazilian Political Science Review,a1324e19c168632fba61436b424658f9b5f6e0c1088091ec1bd7ec7f06b5e7ae,TRUE,mixed_empirical,TRUE,TRUE,descriptive_statistics_only,"The next step of the analysis consisted in examining the behaviour of the state caucuses (bancadas) in 275 roll-call votes... the cohesion of the state caucuses (bancadas) was measured, according to Rice’s index.",FALSE,NA,mixed_descriptive_explanatory,clear,"This article examines the political institutions through which the veto power of territorial governments might express itself, by analysing the behaviour of state caucuses in the Chamber of Deputies...",TRUE,These results may be explained by the rules governing decision-making on matters of federal interest in Brazil.,FALSE,descriptive_quantitative_only,NA,NA,NA,"The article analyzes whether Brazilian sub-national governments can veto Union legislative initiatives that negatively affect their revenues or decision-making autonomy, focusing on legislative outcomes, institutional veto opportunities, and state-caucus voting cohesion and discipline.","Legislative initiatives involving taxation, expenditures, and policy responsibilities voted in the Chamber of Deputies from January 1989 to December 2006; original proposals and floor debates in the Diários da Câmara dos Deputados; 417 roll-call votes, with 275 valid non-unanimous votes analyzed for caucus behavior.",FALSE,NA,"The article is empirical because it analyzes legislative proposals, debates, institutional rules, and roll-call votes. It is mixed empirical because it combines qualitative legislative-institutional reconstruction with original descriptive quantitative analysis of vote counts, Rice cohesion indices, and discipline rates. The quantitative component is descriptive only, with no statistical inference or modeling, and there is no credibility-revolution causal design.",TRUE,a1324e19c168632fba61436b424658f9b5f6e0c1088091ec1bd7ec7f06b5e7ae,5,2007,2005-2011,Ciência Política,Brazilian Political Science Review,research-article,en,11220,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,FALSE,FALSE,FALSE,FALSE
S1981-38212007000200074,Women and Candidate Quality in the Elections for the Senate: Brazil and the United States in Comparative Perspective,Brazilian Political Science Review,abeac424aa74ae6cdf9e463fad842c0720395fadf90aa5b295c900d8d348ccff,TRUE,quantitative_only,TRUE,FALSE,statistical_modeling,We used the above categorizations to predict the differences in the vote percentage of the candidates using an OLS regression (Table 5).,TRUE,"The results show that, for both countries, the career pattern (professional vs. amateur politicians) and whether or not a candidate is an incumbent are significant predictors of a candidate’s vote (model I).",NA,NA,NA,TRUE,"The goal of this study was to verify whether, as some allege, female candidacies to the Senate are less competitive and less successful than their male counterparts.",TRUE,statistical_modeling_screen,FALSE,"[""observational_regression_with_causal_claim_no_design""]",These questions will be addressed through a probit analysis (Table 6).,"The article analyzes how gender, prior elected-office experience or professionalization, incumbency, election type, education, party affiliation, district size, income, education, and urbanization relate to Senate candidacy, vote share, and electoral success in Brazil and the United States.","The main empirical data are Senate candidates and women senators in Brazil and the United States, especially Brazil's 2002 Senate election and the U.S. 2004 Senate election, supplemented by historical profiles of women senators and state-level socio-economic indicators.",TRUE,"The article uses explanatory language and statistical models, but it does not present a design-based causal identification strategy. The appropriate credibility-revolution coding is therefore observational regression with causal or explanatory claims but no credibility-revolution method.","The article is an empirical quantitative study. It presents descriptive tables and statistical models, including OLS regressions and probit analysis, using candidate and election data to explain Senate competitiveness and success. It does not use substantive qualitative evidence and does not implement a credibility-revolution causal design.",TRUE,abeac424aa74ae6cdf9e463fad842c0720395fadf90aa5b295c900d8d348ccff,6,2007,2005-2011,Ciência Política,Brazilian Political Science Review,research-article,en,7427,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,FALSE,TRUE,FALSE,FALSE
S1981-38212007000200108,Rethinking State Politics: The Withering of State Dominant Machines in Brazil,Brazilian Political Science Review,8aa1f514f37fe6fec43590e530c90d2cb67856afeec69883942233f9be9acc47,TRUE,mixed_empirical,TRUE,TRUE,statistical_modeling,"Given the occurrence of moderately high levels of inter-correlation, I relied on factor analysis to reduce all three indicators to a single index of electoral dominance.",TRUE,The two indexes are highly and positively correlated: the Pearson coefficient for the two variables is 0.545 (p < 0.01).,mixed_descriptive_explanatory,clear,"Based on available case-study evidence and on the analysis of electoral data on each of these cases, I classified five of the cases as instances of the dominant machine type: Bahia, Ceará, Paraíba, Maranhão and Goiás.",TRUE,"I argue that the key problem to be addressed is a conceptual one. The concept of clientelism — understood as an asymmetrical bargain between a patron and a client, characterized by clients’ dependence on resources controlled by the patron — offers a limited explanation of electoral dynamics in developing democratic polities such as Brazil.",TRUE,statistical_modeling_screen,FALSE,"[""observational_regression_with_causal_claim_no_design""]","Even though simple correlations are a limited strategy of causal assessment, the results shown in the table 10 provide a strong indication that federal social spending was an important factor behind the electoral growth of the PT and other leftwing organizations in the least-competitive states, in parallel with the decay of state political machines.","The article analyzes the relationship between state-level electoral dominance, political competition, socioeconomic development, left-party growth, federal social policy coverage, and the weakening of dominant state political machines in Brazil.","Brazilian states, using state-level electoral indicators from 1982-2006, party seat and vote shares, political continuity measures, socioeconomic indicators such as poverty, urbanization and GDP per capita, case-study evidence, and Bolsa Família coverage data for July 2006.",TRUE,"The paper combines typological qualitative comparison with quantitative factor analysis and correlations. Its causal explanation is substantive, but the article itself notes that the Bolsa Família evidence rests on simple correlations, so it should be screened but not counted as a credibility-revolution design.","The article is a mixed empirical study. It uses qualitative comparative case evidence to classify state political systems and original quantitative state-level analysis, including a composite electoral dominance index, factor analysis, correlations with p-values, and descriptive temporal comparisons. It makes explanatory claims about vertical competition and social policy, but does not use a design-based credibility-revolution method.",TRUE,8aa1f514f37fe6fec43590e530c90d2cb67856afeec69883942233f9be9acc47,7,2007,2005-2011,Ciência Política,Brazilian Political Science Review,research-article,en,9151,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,FALSE,TRUE,FALSE,FALSE
S1981-38212007000200137,The Securitization of the HIV/AIDS Epidemic as a Norm: A Contribution to Constructivist Scholarship on the Emergence and Diffusion of International Norms,Brazilian Political Science Review,0d82371b36ad3eba06d8017fe38a60b487059f72e74ef77fcff07f4db5b6c819,TRUE,qualitative_only,FALSE,TRUE,none,NA,NA,NA,mixed_descriptive_explanatory,clear,"""The article then identifies the conceptual basis of the HASN, its empirical origins, the actors who develop its main strategic prescriptions and the transnational mechanisms that promote the diffusion of its concepts throughout the state system.""",TRUE,"""The remainder of this article seeks to find empirical support for the theoretical assumptions put forward here.""",FALSE,qualitative_only,NA,NA,NA,"The article analyzes how the HIV/AIDS epidemic was securitized as an international norm and how UNAIDS, the United States government, and transnational NGO networks shaped the emergence, content, and diffusion of that norm.","Qualitative evidence from international norm and securitization scholarship, UN and UNAIDS documents, UN Security Council and UNGASS declarations, Global Fund and PEPFAR policy frameworks, speeches, and organizational examples involving states, multilateral bodies, and NGO networks.",FALSE,NA,"The article is an empirical qualitative and theoretical reconstruction of the emergence and diffusion of the HIV/AIDS Securitization Norm. It uses documentary, institutional, historical, and organizational evidence to make explanatory claims about norm formation and diffusion. It contains no original or reanalyzed quantitative analysis, no statistical inference, and no credibility-revolution causal design.",TRUE,0d82371b36ad3eba06d8017fe38a60b487059f72e74ef77fcff07f4db5b6c819,8,2007,2005-2011,Ciência Política,Brazilian Political Science Review,research-article,en,14917,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,FALSE,FALSE,FALSE,FALSE
S1981-38212008000100010,Personal Networks and Urban Poverty: Preliminary Findings,Brazilian Political Science Review,c5097e1cde8240b55970ae7fb47e5ac5bf08fbdcabe1f2db7a5dabe9c1733597,TRUE,mixed_empirical,TRUE,TRUE,statistical_modeling,a cluster analysis was carried out from the characteristics of the personal networks using SPSS software for K-means,TRUE,"confirmed by tests of averages, which suggested that individuals in a precarious situation have networks with a smaller number of nodes",mixed_descriptive_explanatory,clear,"the research also intends to investigate the principal determinants of these networks, especially their relationship with social segregation",TRUE,testing the impact of the socio-spatial dimension on the structure and organization of personal networks,TRUE,statistical_modeling_screen,FALSE,"[""none_detected""]",NA,"The article analyzes how personal network structure, including size, ties, density, degree, clustering, centralization, spheres of sociability, localism, external ties, fellow-countryman ties, gender homophily, and network type, varies across poor urban contexts and individual social conditions such as sex, work, income, housing, family precariousness, migration, religion, and segregation.","Semi-open questionnaire interviews and relational name-generator data for 89 personal networks of low-income individuals in central São Paulo tenements, Vila Nova Jaguaré, and Vila Nova Esperança/Taboão da Serra; network measures were generated with Ucinet and typologies with SPSS K-means.",TRUE,"The quantitative classification is clear because the article uses K-means clustering analytically, but the causal screening is a judgment call because the article uses explanatory language about determinants and impact while presenting preliminary observational and typological analysis without an identification design.","This is an empirical mixed-method article. It analyzes original interview and relational network data, reports descriptive statistics and social network measures, uses tests of averages and K-means cluster analysis, and includes qualitative field descriptions and case narratives. It makes explanatory claims about networks, segregation, poverty, and sociability, but it does not use a credibility-revolution causal identification method.",TRUE,c5097e1cde8240b55970ae7fb47e5ac5bf08fbdcabe1f2db7a5dabe9c1733597,9,2008,2005-2011,Ciência Política,Brazilian Political Science Review,research-article,en,7987,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,FALSE,TRUE,FALSE,FALSE
S1981-38212008000100035,Relationships between Institutional Economics of Cooperation and the Political Economy of Trust,Brazilian Political Science Review,926eba76fcac7ac2e1640e42a34496a44cf50e174d14bfbffbeb837a9486c63e,FALSE,none,FALSE,FALSE,none,NA,NA,NA,NA,NA,NA,TRUE,There is a causal relationship between institutional economics of cooperation and the political economy of trust.,FALSE,not_empirical,NA,NA,NA,"Conceptual relationship between institutional economics of cooperation, trust, trustworthiness, transaction costs, power, and cooperative arrangements among political and economic actors.",NA,FALSE,NA,"The article is a theoretical literature-based synthesis. It makes conceptual causal claims about trust and cooperation, but it does not present original empirical evidence, quantitative analysis, qualitative evidence, statistical inference, or an empirical causal identification design.",FALSE,926eba76fcac7ac2e1640e42a34496a44cf50e174d14bfbffbeb837a9486c63e,10,2008,2005-2011,Ciência Política,Brazilian Political Science Review,research-article,en,4375,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,FALSE,FALSE,FALSE,FALSE
