pid,title,year,journal_title,audited_agent_id,field,status,severity,overall_fidelity_status,reason,classification_value,supporting_excerpt,file
S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",2006,Dados,agent_c,paper_uses_survey_data,contradicted_by_text,high,fail,"The classification says no survey data, but the body shows survey/questionnaire/opinion-poll data used as evidence in the article's own analysis.",no_survey_data,"99 pesquisas realizadas em 1994, 1998 e 2002 e para multivariada, foram u tilizadas apenas as pesquisas cujos dados disponíveis nos websites do Datafolha, Ibope e Vox Populi contin ham informações sobre porcentagem de indecisos e eleitores que pretendiam votar em branco",data/processed/full_classification_pilot_v2/fidelity_checker/agent_c/S0011-52582006000100002.json
S0034-76122014000100004,Legitimidade das organizações da sociedade civil: análise de conteúdo à luz da teoria da capacidade crítica,2014,Revista de Administração Pública,agent_b,paper_uses_survey_data,contradicted_by_text,high,fail,"The classification says no survey data, but the body shows survey/questionnaire/opinion-poll data used as evidence in the article's own analysis.",no_survey_data,"quadro analítico e do levantamento das hipóteses, foi feita a delimitação da amostra da pesquisa e elaborados os qu estionários. Foram pesquisadas 37 OSC da região Sul do Brasil escolhidas por meio de amostra intencional representativa definida: (i) segundo critérios de relevância:",data/processed/full_classification_pilot_v2/fidelity_checker/agent_b/S0034-76122014000100004.json
S0034-76122014000100004,Legitimidade das organizações da sociedade civil: análise de conteúdo à luz da teoria da capacidade crítica,2014,Revista de Administração Pública,agent_c,paper_uses_survey_data,contradicted_by_text,high,fail,"The classification says no survey data, but the body shows survey/questionnaire/opinion-poll data used as evidence in the article's own analysis.",no_survey_data,"quadro analítico e do levantamento das hipóteses, foi feita a delimitação da amostra da pesquisa e elaborados os qu estionários. Foram pesquisadas 37 OSC da região Sul do Brasil escolhidas por meio de amostra intencional representativa definida: (i) segundo critérios de relevância:",data/processed/full_classification_pilot_v2/fidelity_checker/agent_c/S0034-76122014000100004.json
S0034-76122014000500011,Dificuldades e perspectivas no acesso de micro e pequenas empresas a linhas de crédito públicas: o caso de Chapecó,2014,Revista de Administração Pública,agent_b,paper_uses_survey_data,contradicted_by_text,high,fail,"The classification says no survey data, but the body shows survey/questionnaire/opinion-poll data used as evidence in the article's own analysis.",no_survey_data,"significação dos textos produzidos dos mais diferentes campos. Após a análise de conteúdo dos questionários e a análise de discurso das entrevistas, foi utilizada a técnica da aná lise hermenêutica-dialética que, segundo Minayo (2008), é uma proposta de triangulação de métodos quantitativos",data/processed/full_classification_pilot_v2/fidelity_checker/agent_b/S0034-76122014000500011.json
S1981-38212013000100002,When is statistical significance not significant?,2013,Brazilian Political Science Review,agent_a,references_power_analysis,contradicted_by_text,high,fail,"The classification is false, but the body contains direct evidence for the field.",FALSE,the probability that statistical significance will be indicated if it is present”. They suggest five rules of thumb regarding sta tistical power analysis: 43 (2013) 7 (1) 31 - 55 bpsr When is statistical significance not significant? (1) Researchers should always design,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S1981-38212013000100002.json
S1981-38212013000100002,When is statistical significance not significant?,2013,Brazilian Political Science Review,agent_c,references_power_analysis,contradicted_by_text,high,fail,"The classification is false, but the body contains direct evidence for the field.",FALSE,the probability that statistical significance will be indicated if it is present”. They suggest five rules of thumb regarding sta tistical power analysis: 43 (2013) 7 (1) 31 - 55 bpsr When is statistical significance not significant? (1) Researchers should always design,data/processed/full_classification_pilot_v2/fidelity_checker/agent_c/S1981-38212013000100002.json
S0011-52582013000100006,Os alunos do ensino médio e Sciences Po: entre a meritocracia e a percepção das desigualdades,2013,Dados,agent_a,paper_uses_survey_data,not_found_in_text,high,fail,"The classification claims an original survey, but no own-analysis survey/questionnaire/opinion-poll evidence was found.",runs_original_survey,,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582013000100006.json
S0011-52582013000100006,Os alunos do ensino médio e Sciences Po: entre a meritocracia e a percepção das desigualdades,2013,Dados,agent_b,paper_uses_survey_data,not_found_in_text,high,fail,"The classification claims an original survey, but no own-analysis survey/questionnaire/opinion-poll evidence was found.",runs_original_survey,,data/processed/full_classification_pilot_v2/fidelity_checker/agent_b/S0011-52582013000100006.json
S0011-52582013000100006,Os alunos do ensino médio e Sciences Po: entre a meritocracia e a percepção das desigualdades,2013,Dados,agent_c,paper_uses_survey_data,not_found_in_text,high,fail,"The classification claims an original survey, but no own-analysis survey/questionnaire/opinion-poll evidence was found.",runs_original_survey,,data/processed/full_classification_pilot_v2/fidelity_checker/agent_c/S0011-52582013000100006.json
S0011-52582024000400209,Entre a Desinstitucionalização e a Resiliência: Participação Institucional no Governo Bolsonaro,2024,Dados,agent_c,sample_size,not_found_in_text,high,fail,The accompanying quote is in the body text but does not clearly contain the classified sample size with sample-unit language.,103,"atores externos ao governo, excluindo aqueles meramente governamentais. Foi criado um banco com informações padronizadas para 103 colegiados nacionais, registrando todas as alterações legais e infralegais ocorridas durante a gestão Bolsonaro, entre 2019 e 2022. Além desta introdução, o artigo está organizado",data/processed/full_classification_pilot_v2/fidelity_checker/agent_c/S0011-52582024000400209.json
