pid,title,year,journal_title,agent_id,field,value,previous_value
S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",2006,Dados,agent_a,brief_justification,"O corpo de ""Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002"" analisa dados quantitativos, administrativos ou de survey com procedimento empírico próprio ou secundário claramente descrito. A classificação é conservadora: detalhes causais, variáveis e identificação só foram preenchidos quando o texto os declarou de forma explícita.","The XML contains only metadata (title, abstracts, references) with no article body text, so classification relies on the English and French abstracts. The paper is an empirical quantitative study of economic voting in Brazilian presidential elections (1994, 1998, 2002), testing hypotheses about the relationship between macroeconomic indicators and aggregate voting intentions using time-series data. The abstract describes testing simultaneity between economic indicators and vote intention, consistent with a VAR or similar time-series approach, and concludes that retrospective voting based on economic fundamentals (not financial markets) predominates in Brazil."
S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",2006,Dados,agent_b,brief_justification,"O artigo ""Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002"" usa dados quantitativos para explicar um outcome por variáveis observacionais. A linguagem de efeito/determinantes foi classificada conservadoramente: não há estimando causal claro nem suposições substantivas de identificação, portanto a quantidade causal é FALSE.","The XML contains only metadata (title, abstracts, references) with no article body text, so classification relies on the English and French abstracts. The paper is an empirical quantitative study of economic voting in Brazilian presidential elections (1994, 1998, 2002), testing hypotheses about the relationship between macroeconomic indicators and aggregate voting intentions using time-series data. The abstract describes testing simultaneity between economic indicators and vote intention, consistent with a VAR or similar time-series approach, and concludes that retrospective voting based on economic fundamentals (not financial markets) predominates in Brazil."
S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",2006,Dados,agent_c,brief_justification,"O artigo constrói banco de séries temporais de pesquisas eleitorais e indicadores econômicos para testar relações entre economia, mercado financeiro e voto. Há hipóteses, variáveis, defasagens, testes de Granger, SUR e resultados estatisticamente significativos, mas não há desenho causal de identificação forte como experimento, IV ou DiD.","The XML contains only metadata (title, abstracts, references) with no article body text, so classification relies on the English and French abstracts. The paper is an empirical quantitative study of economic voting in Brazilian presidential elections (1994, 1998, 2002), testing hypotheses about the relationship between macroeconomic indicators and aggregate voting intentions using time-series data. The abstract describes testing simultaneity between economic indicators and vote intention, consistent with a VAR or similar time-series approach, and concludes that retrospective voting based on economic fundamentals (not financial markets) predominates in Brazil."
S0011-52582006000300002,"Max Weber, as múltiplas modernidades e a reorientação da teoria sociológica",2006,Dados,agent_a,brief_justification,"O corpo de ""Max Weber, as múltiplas modernidades e a reorientação da teoria sociológica"" se apresenta como ensaio teórico, conceitual ou de história das ideias, sem análise própria de dados observacionais ou experimentais. Por isso, os campos de desenho causal, variáveis, amostra e resultados estatísticos foram deixados nulos.","Theoretical essay on Max Weber, multiple modernities, and the methodological problem of small-N civilizational comparison. The XML contains only metadata (abstracts, references, keywords) with no article body text, but the abstracts clearly indicate a non-empirical social theory piece with no quantitative analysis."
S0011-52582006000300002,"Max Weber, as múltiplas modernidades e a reorientação da teoria sociológica",2006,Dados,agent_b,brief_justification,"O artigo ""Max Weber, as múltiplas modernidades e a reorientação da teoria sociológica"" é tratado como ensaio teórico, conceitual ou histórico-intelectual. Não há análise empírica quantitativa própria nem desenho de identificação causal sustentado pelo corpo do texto.","Theoretical essay on Max Weber, multiple modernities, and the methodological problem of small-N civilizational comparison. The XML contains only metadata (abstracts, references, keywords) with no article body text, but the abstracts clearly indicate a non-empirical social theory piece with no quantitative analysis."
S0011-52582006000300002,"Max Weber, as múltiplas modernidades e a reorientação da teoria sociológica",2006,Dados,agent_c,brief_justification,"O body canônico apresenta uma discussão conceitual, interpretativa ou histórica, sem análise própria de dados observacionais ou experimentais. Não há amostra, variáveis, equações estimadas ou resultados estatísticos sustentados pelo texto.","Theoretical essay on Max Weber, multiple modernities, and the methodological problem of small-N civilizational comparison. The XML contains only metadata (abstracts, references, keywords) with no article body text, but the abstracts clearly indicate a non-empirical social theory piece with no quantitative analysis."
S0011-52582008000400005,O conceito de federalismo e a idéia de interesse no Brasil do século XIX,2008,Dados,agent_a,brief_justification,"O corpo de ""O conceito de federalismo e a idéia de interesse no Brasil do século XIX"" se apresenta como ensaio teórico, conceitual ou de história das ideias, sem análise própria de dados observacionais ou experimentais. Por isso, os campos de desenho causal, variáveis, amostra e resultados estatísticos foram deixados nulos.","This is a conceptual history (Begriffsgeschichte) article using Koselleck's methodology to trace the evolution of the concept of federalism in 19th century Brazil. It analyzes newspapers and parliamentary debates as primary sources but employs no quantitative methods. The work is interpretive and historical-theoretical, focused on political concepts and their semantic transformations rather than empirical hypothesis testing."
S0011-52582008000400005,O conceito de federalismo e a idéia de interesse no Brasil do século XIX,2008,Dados,agent_b,brief_justification,"O artigo ""O conceito de federalismo e a idéia de interesse no Brasil do século XIX"" é uma análise qualitativa, documental ou de campo. O método pode ser explícito, mas o texto não sustenta análise quantitativa própria nem desenho causal de identificação.","This is a conceptual history (Begriffsgeschichte) article using Koselleck's methodology to trace the evolution of the concept of federalism in 19th century Brazil. It analyzes newspapers and parliamentary debates as primary sources but employs no quantitative methods. The work is interpretive and historical-theoretical, focused on political concepts and their semantic transformations rather than empirical hypothesis testing."
S0011-52582008000400005,O conceito de federalismo e a idéia de interesse no Brasil do século XIX,2008,Dados,agent_c,brief_justification,"O body canônico apresenta uma discussão conceitual, interpretativa ou histórica, sem análise própria de dados observacionais ou experimentais. Não há amostra, variáveis, equações estimadas ou resultados estatísticos sustentados pelo texto.","This is a conceptual history (Begriffsgeschichte) article using Koselleck's methodology to trace the evolution of the concept of federalism in 19th century Brazil. It analyzes newspapers and parliamentary debates as primary sources but employs no quantitative methods. The work is interpretive and historical-theoretical, focused on political concepts and their semantic transformations rather than empirical hypothesis testing."
S0011-52582010000200002,O contextualismo linguístico na história do pensamento político: Quentin Skinner e o debate metodológico contemporâneo,2010,Dados,agent_a,brief_justification,"O corpo de ""O contextualismo linguístico na história do pensamento político: Quentin Skinner e o debate metodológico contemporâneo"" se apresenta como ensaio teórico, conceitual ou de história das ideias, sem análise própria de dados observacionais ou experimentais. Por isso, os campos de desenho causal, variáveis, amostra e resultados estatísticos foram deixados nulos.","This is a purely theoretical-normative essay on the methodology of the history of political thought. It critically reviews Quentin Skinner's linguistic contextualism and the objections raised by his critics (epistemological, intentionalist, and antiquarianist). There is no empirical data, no quantitative analysis, and no causal claims. The method is essayistic, relying on interpretive analysis of scholarly arguments and texts."
S0011-52582010000200002,O contextualismo linguístico na história do pensamento político: Quentin Skinner e o debate metodológico contemporâneo,2010,Dados,agent_b,brief_justification,"O artigo ""O contextualismo linguístico na história do pensamento político: Quentin Skinner e o debate metodológico contemporâneo"" é tratado como ensaio teórico, conceitual ou histórico-intelectual. Não há análise empírica quantitativa própria nem desenho de identificação causal sustentado pelo corpo do texto.","This is a purely theoretical-normative essay on the methodology of the history of political thought. It critically reviews Quentin Skinner's linguistic contextualism and the objections raised by his critics (epistemological, intentionalist, and antiquarianist). There is no empirical data, no quantitative analysis, and no causal claims. The method is essayistic, relying on interpretive analysis of scholarly arguments and texts."
S0011-52582010000200002,O contextualismo linguístico na história do pensamento político: Quentin Skinner e o debate metodológico contemporâneo,2010,Dados,agent_c,brief_justification,"O body canônico apresenta uma discussão conceitual, interpretativa ou histórica, sem análise própria de dados observacionais ou experimentais. Não há amostra, variáveis, equações estimadas ou resultados estatísticos sustentados pelo texto.","This is a purely theoretical-normative essay on the methodology of the history of political thought. It critically reviews Quentin Skinner's linguistic contextualism and the objections raised by his critics (epistemological, intentionalist, and antiquarianist). There is no empirical data, no quantitative analysis, and no causal claims. The method is essayistic, relying on interpretive analysis of scholarly arguments and texts."
S0011-52582010000300002,Construção democrática e modelos de Constituição,2010,Dados,agent_a,brief_justification,"O corpo de ""Construção democrática e modelos de Constituição"" se apresenta como ensaio teórico, conceitual ou de história das ideias, sem análise própria de dados observacionais ou experimentais. Por isso, os campos de desenho causal, variáveis, amostra e resultados estatísticos foram deixados nulos.","This is a theoretical-normative article that proposes a conceptual framework for analyzing constitutional models in new democracies. It discusses constitutionalism, policy-oriented constitutions, veto points, amendment processes, and judicial review without any quantitative empirical analysis. There are zero tables, figures, and equations. The 62 references are predominantly theoretical works on constitutionalism and democratic theory. The method is essayistic, relying on conceptual argumentation rather than systematic empirical evidence."
S0011-52582010000300002,Construção democrática e modelos de Constituição,2010,Dados,agent_b,brief_justification,"O artigo ""Construção democrática e modelos de Constituição"" é tratado como ensaio teórico, conceitual ou histórico-intelectual. Não há análise empírica quantitativa própria nem desenho de identificação causal sustentado pelo corpo do texto.","This is a theoretical-normative article that proposes a conceptual framework for analyzing constitutional models in new democracies. It discusses constitutionalism, policy-oriented constitutions, veto points, amendment processes, and judicial review without any quantitative empirical analysis. There are zero tables, figures, and equations. The 62 references are predominantly theoretical works on constitutionalism and democratic theory. The method is essayistic, relying on conceptual argumentation rather than systematic empirical evidence."
S0011-52582010000300002,Construção democrática e modelos de Constituição,2010,Dados,agent_c,brief_justification,"O body canônico apresenta uma discussão conceitual, interpretativa ou histórica, sem análise própria de dados observacionais ou experimentais. Não há amostra, variáveis, equações estimadas ou resultados estatísticos sustentados pelo texto.","This is a theoretical-normative article that proposes a conceptual framework for analyzing constitutional models in new democracies. It discusses constitutionalism, policy-oriented constitutions, veto points, amendment processes, and judicial review without any quantitative empirical analysis. There are zero tables, figures, and equations. The 62 references are predominantly theoretical works on constitutionalism and democratic theory. The method is essayistic, relying on conceptual argumentation rather than systematic empirical evidence."
S0011-52582011000100004,Welfare state e desenvolvimento,2011,Dados,agent_a,brief_justification,"O corpo de ""Welfare state e desenvolvimento"" se apresenta como ensaio teórico, conceitual ou de história das ideias, sem análise própria de dados observacionais ou experimentais. Por isso, os campos de desenho causal, variáveis, amostra e resultados estatísticos foram deixados nulos.","The paper is a theoretical-normative literature review that systematizes arguments and evidence on the relationship between the welfare state and economic development. It contains no tables, figures, or equations, has 38 references across 28 pages, and its abstract frames the goal as marshaling arguments against common assumptions rather than testing hypotheses with original data. The method is essayistic, relying on conceptual argumentation and synthesis of existing studies rather than explicit empirical methodology."
S0011-52582011000100004,Welfare state e desenvolvimento,2011,Dados,agent_b,brief_justification,"O artigo ""Welfare state e desenvolvimento"" é tratado como ensaio teórico, conceitual ou histórico-intelectual. Não há análise empírica quantitativa própria nem desenho de identificação causal sustentado pelo corpo do texto.","The paper is a theoretical-normative literature review that systematizes arguments and evidence on the relationship between the welfare state and economic development. It contains no tables, figures, or equations, has 38 references across 28 pages, and its abstract frames the goal as marshaling arguments against common assumptions rather than testing hypotheses with original data. The method is essayistic, relying on conceptual argumentation and synthesis of existing studies rather than explicit empirical methodology."
S0011-52582011000100004,Welfare state e desenvolvimento,2011,Dados,agent_c,brief_justification,"O body canônico apresenta uma discussão conceitual, interpretativa ou histórica, sem análise própria de dados observacionais ou experimentais. Não há amostra, variáveis, equações estimadas ou resultados estatísticos sustentados pelo texto.","The paper is a theoretical-normative literature review that systematizes arguments and evidence on the relationship between the welfare state and economic development. It contains no tables, figures, or equations, has 38 references across 28 pages, and its abstract frames the goal as marshaling arguments against common assumptions rather than testing hypotheses with original data. The method is essayistic, relying on conceptual argumentation and synthesis of existing studies rather than explicit empirical methodology."
S0011-52582013000100006,Os alunos do ensino médio e Sciences Po: entre a meritocracia e a percepção das desigualdades,2013,Dados,agent_a,brief_justification,"O corpo de ""Os alunos do ensino médio e Sciences Po: entre a meritocracia e a percepção das desigualdades"" combina evidência quantitativa com documentos, entrevistas, análise de conteúdo ou estudo de caso. Mantive nulos os campos de identificação causal, placebo e relações IV-DV quando o texto não sustentava uma leitura causal precisa.","Qualitative sociological study using ethnographic fieldwork in four high schools in Seine-Saint-Denis to analyze how Sciences Po outreach programs affect students' perceptions of meritocracy and inequality. No quantitative analysis, no statistical models, no causal inference design. The article draws on the French sociology of education tradition (Dubet, Van Zanten, Oberti) and employs qualitative methods to examine reception mechanisms of an unprecedented educational offer in stigmatized urban environments."
S0011-52582013000100006,Os alunos do ensino médio e Sciences Po: entre a meritocracia e a percepção das desigualdades,2013,Dados,agent_b,brief_justification,"O artigo ""Os alunos do ensino médio e Sciences Po: entre a meritocracia e a percepção das desigualdades"" é uma análise qualitativa, documental ou de campo. O método pode ser explícito, mas o texto não sustenta análise quantitativa própria nem desenho causal de identificação.","Qualitative sociological study using ethnographic fieldwork in four high schools in Seine-Saint-Denis to analyze how Sciences Po outreach programs affect students' perceptions of meritocracy and inequality. No quantitative analysis, no statistical models, no causal inference design. The article draws on the French sociology of education tradition (Dubet, Van Zanten, Oberti) and employs qualitative methods to examine reception mechanisms of an unprecedented educational offer in stigmatized urban environments."
S0011-52582013000100006,Os alunos do ensino médio e Sciences Po: entre a meritocracia e a percepção das desigualdades,2013,Dados,agent_c,brief_justification,"O artigo usa pesquisa de múltiplas abordagens em escolas francesas, com questionários, entrevistas coletivas e observação etnográfica. A análise é empírica e explícita, mas a interpretação central não é um paper quantitativo de determinantes ou estimação estatística.","Qualitative sociological study using ethnographic fieldwork in four high schools in Seine-Saint-Denis to analyze how Sciences Po outreach programs affect students' perceptions of meritocracy and inequality. No quantitative analysis, no statistical models, no causal inference design. The article draws on the French sociology of education tradition (Dubet, Van Zanten, Oberti) and employs qualitative methods to examine reception mechanisms of an unprecedented educational offer in stigmatized urban environments."
S0011-52582015000200461,"Continuidade, Ruptura ou Reciclagem? Uma Análise do Programa Político do Banco Mundial após o Consenso de Washington",2015,Dados,agent_a,brief_justification,"O corpo de ""Continuidade, Ruptura ou Reciclagem? Uma Análise do Programa Político do Banco Mundial após o Consenso de Washington"" conduz análise empírica qualitativa ou histórico-documental, não uma análise quantitativa de dados observacionais ou experimentais. Os campos estatísticos e de desenho causal foram preenchidos apenas quando o método estava claramente declarado no texto.","This is a theoretical-analytical essay that traces the evolution of the World Bank's political program from the Washington Consensus era (1989) through 2014. It relies on documentary analysis of the Bank's own publications and secondary literature, with no quantitative data, statistical analysis, or empirical testing. The article argues the Bank's agenda was 'recycled' rather than fundamentally changed, incorporating neo-institutionalist ideas to expand its liberal reform prescriptions across economy, state, civil society, and individual subjectivity in client countries. There are zero tables, figures, or equations (confirmed by counts in XML metadata). The 86 references are predominantly books and critical political economy journals. The method is interpretive-historical and essayistic throughout."
S0011-52582015000200461,"Continuidade, Ruptura ou Reciclagem? Uma Análise do Programa Político do Banco Mundial após o Consenso de Washington",2015,Dados,agent_b,brief_justification,"O artigo ""Continuidade, Ruptura ou Reciclagem? Uma Análise do Programa Político do Banco Mundial após o Consenso de Washington"" é uma análise qualitativa, documental ou de campo. O método pode ser explícito, mas o texto não sustenta análise quantitativa própria nem desenho causal de identificação.","This is a theoretical-analytical essay that traces the evolution of the World Bank's political program from the Washington Consensus era (1989) through 2014. It relies on documentary analysis of the Bank's own publications and secondary literature, with no quantitative data, statistical analysis, or empirical testing. The article argues the Bank's agenda was 'recycled' rather than fundamentally changed, incorporating neo-institutionalist ideas to expand its liberal reform prescriptions across economy, state, civil society, and individual subjectivity in client countries. There are zero tables, figures, or equations (confirmed by counts in XML metadata). The 86 references are predominantly books and critical political economy journals. The method is interpretive-historical and essayistic throughout."
