pid,audited_agent_id,field,status,severity,reason,supporting_excerpt,classification_value,overall_fidelity_status,file
S0011-52582006000100002,agent_a,sample_size,supported_by_text,none,The classification makes no sample-size claim.,,<NULL>,pass_with_warnings,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000100002.json
S0011-52582006000100002,agent_a,sample_size_quote,supported_by_text,none,The classification makes no sample-size quotation claim.,,<NULL>,pass_with_warnings,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000100002.json
S0011-52582006000100002,agent_a,independent_variables,supported_by_text,none,All classified variables have textual evidence in the canonical body.,intenções de voto do eleitor brasileiro ainda não foi verificado empiricamente. Outra questão diz respeito especificamente aos indicadores dos fundamentos da economia . O desemprego parece ter ganhado mais destaque do que a inflação no debate eleitoral de 20022. Conforme previsto pela,"[{""variable_name"":""economic fundamentals"",""variable_description"":""Explanatory variable identified from the article body.""},{""variable_name"":""financial-market indicators"",""variable_description"":""Explanatory variable identified from the article body.""}]",pass_with_warnings,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000100002.json
S0011-52582006000100002,agent_a,dependent_variables,supported_by_text,none,All classified variables have textual evidence in the canonical body.,"analisando o impacto da taxa de câmbio, de índices de risco-país e de indicadores da bolsa de valores nas intenções de voto para presidente no Brasil contemporâneo. Além desses indicadores, o impacto de variáveis econômicas, tradicionalmente analisadas em estudos sobre economia e","[{""variable_name"":""vote intention for presidential candidates"",""variable_description"":""Outcome variable identified from the article body.""}]",pass_with_warnings,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000100002.json
S0011-52582006000100002,agent_a,main_variable_relationship,supported_by_text,none,The classification makes no specific IV-DV relationship claim.,,<NULL>,pass_with_warnings,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000100002.json
S0011-52582006000100002,agent_a,paper_uses_survey_data,supported_by_text,none,The body shows survey/questionnaire/opinion-poll data used as evidence in the article's own analysis.,"99 pesquisas realizadas em 1994, 1998 e 2002 e para multivariada, foram u tilizadas apenas as pesquisas cujos dados disponíveis nos websites do Datafolha, Ibope e Vox Populi contin ham informações sobre porcentagem de indecisos e eleitores que pretendiam votar em branco",uses_public_available_survey,pass_with_warnings,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000100002.json
S0011-52582006000100002,agent_a,uses_original_dataset,supported_by_text,none,"The body contains evidence of data collection, construction, systematization, field interviews, or sourced dataset assembly compatible with the classified category.","em cada eleição. Portanto, as variáveis políticas enfocam os fatores conjunturais nas intenções de voto11. DADOS O banco de dados usado é com posto por séries temporais da aferição de intenção de voto para candidatos a presidente tendo como unidade de observação",procure_original_data,pass_with_warnings,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000100002.json
S0011-52582006000100002,agent_a,main_causal_research_design,supported_by_text,none,The body contains method/design language consistent with the classified design.,"variável latente para popularidade presidencial atribuída a fatores não-econômicos. Ela é simplesmente o resíduo de uma equação de mínimos quadrados que te m como variável dependente a popularidade presidencial mensal e como variáveis independentes os indicadores econômicos mencionados anteriormente. Portanto, essa variável",Kitchen Sink Linear Model,pass_with_warnings,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000100002.json
S0011-52582006000100002,agent_a,makes_explicit_causal_claim,supported_by_text,none,The body contains direct causal/effect/impact language.,"no Brasil recente. De forma mais específica, este artigo pretende oferecer respostas para as seguintes perguntas: qual é a relação causal entre indicadores do mercado financeiro e fundamentos da economia, por um lado, e intenções de voto, por outro? O que determina",TRUE,pass_with_warnings,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000100002.json
S0011-52582006000100002,agent_a,makes_implicit_causal_claim,supported_by_text,none,The classification does not claim implicit causal language.,,FALSE,pass_with_warnings,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000100002.json
S0011-52582006000100002,agent_a,statement_of_identification_assumptions,supported_by_text,none,The classification does not claim explicit identification assumptions.,,FALSE,pass_with_warnings,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000100002.json
S0011-52582006000100002,agent_a,statement_of_identification_assumptions_quote,supported_by_text,none,The classification makes no quotation claim for this field.,,<NULL>,pass_with_warnings,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000100002.json
S0011-52582006000100002,agent_a,specifies_estimate_equations,supported_by_text,none,"The body contains equation, model-specification, or regression language.","intenções de voto nas eleições presidenciais de 1994, 1998 e 200216. As variáveis dependentes utilizadas estão divididas em cinco equaç ões: a) intenção de voto em Lula; b) intenção de voto em candidatos do governo, que combina Fernando Henrique e Serra; c)",TRUE,pass_with_warnings,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000100002.json
S0011-52582006000100002,agent_a,effort_to_explore_mechanisms,contradicted_by_text,low,"The classification says no mechanisms/channels, but mechanism/channel language appears in the body.","e Leblang (2001), o impacto dos indicadores financeiros provavelmente é mais visível quando estes oscilam negativamente. Ou seja, o me canismo c ausal da relação entre intenção de voto e indicadores financeiros tem diversos momentos. Primeiro, pioras nas avaliações de risco-país ou",No Mention of Mechanisms/Channels,pass_with_warnings,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000100002.json
S0011-52582006000100002,agent_a,claims_any_statistically_significant_results,supported_by_text,none,The body contains statistical-significance language.,"do governo e negativamente nos candidatos englobados na categoria Outros. Em ambos os casos, esses coeficientes são estatisticamente signif icativos. O HG PE também reduziu a tendência de se votar em branco e nulo, favoreceu os candidatos do governo, prejudicou os candidatos",TRUE,pass_with_warnings,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000100002.json
S0011-52582006000100002,agent_a,references_power_analysis,supported_by_text,none,The classification does not claim a power-analysis reference.,,FALSE,pass_with_warnings,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000100002.json
S0011-52582006000100002,agent_a,mentions_pre_registered_design_and_analysis_plan,supported_by_text,none,The classification does not claim preregistration or a pre-analysis plan.,,FALSE,pass_with_warnings,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000100002.json
S0011-52582006000300002,agent_a,sample_size,supported_by_text,none,The classification makes no sample-size claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000300002.json
S0011-52582006000300002,agent_a,sample_size_quote,supported_by_text,none,The classification makes no sample-size quotation claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000300002.json
S0011-52582006000300002,agent_a,independent_variables,supported_by_text,none,The classification makes no specific variable-list claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000300002.json
S0011-52582006000300002,agent_a,dependent_variables,supported_by_text,none,The classification makes no specific variable-list claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000300002.json
S0011-52582006000300002,agent_a,main_variable_relationship,supported_by_text,none,The classification makes no specific IV-DV relationship claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000300002.json
S0011-52582006000300002,agent_a,paper_uses_survey_data,supported_by_text,none,No own-analysis survey/questionnaire/opinion-poll evidence was found; contextual or qualitative-interview mentions are not counted.,,no_survey_data,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000300002.json
S0011-52582006000300002,agent_a,uses_original_dataset,supported_by_text,none,The classification makes no original-dataset claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000300002.json
