pid,title,journal_title,input_text_hash,is_empirical_paper,empirical_evidence_type,is_empirical_quant_paper_torreblanca,is_empirical_qual_paper,quantitative_analysis_type,quantitative_analysis_evidence_quote,has_statistical_inference,statistical_inference_quote,qualitative_analysis_goal,qualitative_goal_clarity,qualitative_goal_quote,causal_or_explanatory_claim_present,causal_or_explanatory_claim_quote,credibility_revolution_screen_applicable,credibility_revolution_screen_reason,credibility_revolution_method_present,credibility_revolution_method_type,causal_design_quote,main_variables_or_relationship,sample_or_data_source,tough_call,tough_call_reason,brief_justification
S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",Dados,fa779440b1c8f2d875c696a70338512404c8cca6b40fec11cc727d6bca49f02b,TRUE,quantitative_only,TRUE,FALSE,statistical_modeling,Ela é simplesmente o resíduo de uma equação de mínimos quadrados que tem como variável dependente a popularidade presidencial mensal e como variáveis independentes os indicadores econômicos mencionados anteriormente.,TRUE,"Este é um problema grave, pois erros de especificação não acarretam apenas ineficiência na estimação (erros-padrão inflados), mas também vieses nos coeficientes estimados.",,,,TRUE,"...eve no Brasil recente. De forma mais específica, este artigo pretende oferecer respostas para as seguintes perguntas: qual é a relação causal entre indicadores do mercado financeiro e fundamentos da economia, por um lado, e intenções de voto, por outro? O que determina...",TRUE,statistical_modeling_screen,FALSE,"[""observational_regression_with_causal_claim_no_design""]",,"Relações empíricas quantitativas analisadas no artigo sobre: Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002.",Vox Populi) em cada um dos anos eleitorais.,TRUE,"Modelagem observacional com linguagem causal/explanatória, mas sem desenho de identificação moderno detectado.","O body contém análise quantitativa própria ou reanálise de dados, classificada como statistical_modeling. A triagem causal foi aplicada quando havia modelagem, testes bivariados ou desenho causal detectado no texto."
S0011-52582006000300002,"Max Weber, as múltiplas modernidades e a reorientação da teoria sociológica",Dados,3870fe4f4af0d133002a4e4cd051dcde394b16cf4de2053ca612abcb09a0d0ba,FALSE,none,FALSE,FALSE,none,,,,,,,FALSE,,FALSE,not_empirical,,,,,dados que devem ter conseqüências metodológicas.,FALSE,,"O body apresenta um ensaio teórico, normativo, conceitual ou de história das ideias, sem análise empírica própria. Por isso, os módulos quantitativo, qualitativo empírico e causal ficam nulos ou negativos."
S0011-52582008000400005,O conceito de federalismo e a idéia de interesse no Brasil do século XIX,Dados,fbf731dd79898c38256c0060333791925e36982fac610ea6204b4abd3c7362e1,FALSE,none,FALSE,FALSE,none,,,,,,,FALSE,,FALSE,not_empirical,,,,,dados de busca etc.,FALSE,,"O body apresenta um ensaio teórico, normativo, conceitual ou de história das ideias, sem análise empírica própria. Por isso, os módulos quantitativo, qualitativo empírico e causal ficam nulos ou negativos."
S0011-52582010000200002,O contextualismo linguístico na história do pensamento político: Quentin Skinner e o debate metodológico contemporâneo,Dados,9ee5d28bda03fd7f8c15d5be90278903b9288ea341fca0a7009f79d04519c382,FALSE,none,FALSE,FALSE,none,,,,,,,FALSE,,FALSE,not_empirical,,,,,,FALSE,,"The article is a theoretical and methodological essay on Quentin Skinner, linguistic contextualism, and debates in the history of political thought. It interprets concepts and scholarly arguments but does not conduct original empirical qualitative or quantitative analysis."
S0011-52582010000300002,Construção democrática e modelos de Constituição,Dados,2cef691dec3b63410a3e54a2b456896aed90ceecd7abb19a68f35443d4cc0d88,FALSE,none,FALSE,FALSE,none,,,,,,,FALSE,,FALSE,not_empirical,,,,,"Tsebelis, 1997).",FALSE,,"O body apresenta um ensaio teórico, normativo, conceitual ou de história das ideias, sem análise empírica própria. Por isso, os módulos quantitativo, qualitativo empírico e causal ficam nulos ou negativos."
S0011-52582011000100004,Welfare state e desenvolvimento,Dados,6315652ec3e5c8843f7291acfa4b296ad4cd37cb3c31634c8019febff9cc6602,FALSE,none,FALSE,FALSE,none,,,,,,,FALSE,,FALSE,not_empirical,,,,,,FALSE,,"O body apresenta um ensaio teórico, normativo, conceitual ou de história das ideias, sem análise empírica própria. Por isso, os módulos quantitativo, qualitativo empírico e causal ficam nulos ou negativos."
S0011-52582013000100006,Os alunos do ensino médio e Sciences Po: entre a meritocracia e a percepção das desigualdades,Dados,1cff4816d6626e741fc1f0a3df253dd623abd556bdda06e6e84461e5eb7b0692,TRUE,mixed_empirical,TRUE,TRUE,bivariate_tests_or_correlations_only,"Em segundo lugar, na amostra estudada, apenas umaminoria demães declarando a nacionalidade francesa, indica a França metropolitana como país de origem (38%, 37% para os pais).",TRUE,"...ar francês: uma grande diferença no desempenho escolar entre uma elite bem dotada e a grande massa dos alunos; assim como a influência significativa do meio social e cultural no sucesso escolar (Baudelot e Establet, 2009).Os programas de Sciences Po não fogem desse dado...",mixed_descriptive_explanatory,clear,"...a essas perguntas a partir de uma pesquisa de múltiplas abordagens (análise dos contextos urbanos e escolares locais, questionários e entrevistas com pais de alunos, entrevistas coletivas com alunos, observação etnográfica de longa duração), realizada entre 2006 e 2008...",TRUE,"É o que amplamente criticam na política de educação prioritária, o que lhes parecemais uma causa de dificuldades adicionais do que uma ajuda.",TRUE,bivariate_or_correlation_screen,FALSE,"[""none_detected""]",,Relações empíricas quantitativas analisadas no artigo sobre: Os alunos do ensino médio e Sciences Po: entre a meritocracia e a percepção das desigualdades.,dados aplicados a muitos estabelecimentos não permite comparações sistemáticas.,FALSE,,"O body contém análise quantitativa própria ou reanálise de dados, classificada como bivariate_tests_or_correlations_only. A triagem causal foi aplicada quando havia modelagem, testes bivariados ou desenho causal detectado no texto."
S0011-52582015000200461,"Continuidade, Ruptura ou Reciclagem? Uma Análise do Programa Político do Banco Mundial após o Consenso de Washington",Dados,c3770c61811716788b12932c52ee017575a89e18e31def5ad01c0f4cb483fbb1,TRUE,qualitative_only,FALSE,TRUE,none,,,,mixed_descriptive_explanatory,clear,"...filantrópicas e ONGs que constituem a indústria internacional da ajuda, o BM se tornou uma das forças mais proeminentes no negócio da ""reconstrução pós-conflito"" (Harrison, 2004; Williams, 2008; Babb, 2009). A terceira dimensão diz respeito à internalização do ""combate...",TRUE,"...a estratégia dual, que combinava programas focalizados com a confiança renovada nas virtudes redentoras do crescimento econômico e do ""efeito derrame"" - isto é, o gotejamento gradual da renda para os estratos mais baixos da estrutura social. Não por acaso, o conflito em...",FALSE,qualitative_only,,,,"Evidência qualitativa usada para reconstruir ou explicar o objeto do artigo: Continuidade, Ruptura ou Reciclagem? Uma Análise do Programa Político do Banco Mundial após o Consenso de Washington.",dados que incide nas condições gerais de reprodução social6.,TRUE,O artigo qualitativo menciona números contextuais; a regra anti-falso-positivo impediu classificá-lo como quantitativo.,"O body usa evidência qualitativa substantiva, como reconstrução histórica, estudo de caso, documentos, discursos ou entrevistas. Não há análise quantitativa original apoiada pelo texto."
S0011-52582015000401131,Organizar a Desordem: Raízes do Brasil em 1936,Dados,61923715e89bc588c5e66fd5bb34aaa7a92aecfb6ec12239edbbbf0a97604894,FALSE,none,FALSE,FALSE,none,,,,,,,FALSE,,FALSE,not_empirical,,,,,dados em dia de parada” (ibidem:43-46).,FALSE,,"O body apresenta um ensaio teórico, normativo, conceitual ou de história das ideias, sem análise empírica própria. Por isso, os módulos quantitativo, qualitativo empírico e causal ficam nulos ou negativos."
S0011-52582017000200395,A Imprensa Brasileira e suas &#8220;Cruzadas Morais&#8221;: Análise dos Casos do Segundo Governo de Getúlio Vargas e do Primeiro Governo de Lula da Silva,Dados,bd9002c9a348ef9163f81e6a4df979a7e55fc1e9b0e91df93378f65497afefe1,TRUE,qualitative_only,FALSE,TRUE,none,,,,mixed_descriptive_explanatory,clear,,TRUE,"...ado de nuestro análisis confirma los señalamientos de Miguel y Coutinho (2007) de que O Globo sería el periódico que más acusaría como causa de la crisis al aparelhamento del Estado que habría realizado el PT, exigiendo una reforma política y una modernización estatal p...",FALSE,qualitative_only,,,,Evidência qualitativa usada para reconstruir ou explicar o objeto do artigo: A Imprensa Brasileira e suas &#8220;Cruzadas Morais&#8221;: Análise dos Casos do Segundo Governo de Getúlio Vargas e do Primeiro Governo de Lula da Silva.,,TRUE,O artigo qualitativo menciona números contextuais; a regra anti-falso-positivo impediu classificá-lo como quantitativo.,"O body usa evidência qualitativa substantiva, como reconstrução histórica, estudo de caso, documentos, discursos ou entrevistas. Não há análise quantitativa original apoiada pelo texto."
