prior,parameter,estimate,q025,q975
"Normal(0, 1.5)","P(inferência | CP, periódico médio)",0.40559103062470514,0.2867313076104206,0.5290725335677123
"Normal(0, 1.5)","P(inferência | RI, periódico médio)",0.09289743696308758,0.0420601331166015,0.21546858752470902
"Normal(0, 1.5)",Diferença CP - RI,0.3096015276146804,0.1377263161549435,0.43656543799712477
"Normal(0, 1.5)",Razão de chances RI/CP,0.15036656615700422,0.059846044365743666,0.46865089888419065
"Normal(0, 1.5)",beta_area_ri,-1.8946792000000001,-2.815979945,-0.7578971652500005
"Normal(0, 1.5)",P(delta > 0),0.996625,NA,NA
"Normal(0, 1.5)",P(beta_area_ri < 0),0.996625,NA,NA
"Student-t(3, 0, 2.5)","P(inferência | CP, periódico médio)",0.4103368074485497,0.2885029615168019,0.5356162111895417
"Student-t(3, 0, 2.5)","P(inferência | RI, periódico médio)",0.08427219822195833,0.03598130074498023,0.19514838977612278
"Student-t(3, 0, 2.5)",Diferença CP - RI,0.3219669750238767,0.16566828624078567,0.45154701395239427
"Student-t(3, 0, 2.5)",Razão de chances RI/CP,0.13244768485490388,0.04905656506081029,0.39232702263315866
"Student-t(3, 0, 2.5)",beta_area_ri,-2.0215675500000003,-3.0147817050000003,-0.935659649750001
"Student-t(3, 0, 2.5)",P(delta > 0),0.998875,NA,NA
"Student-t(3, 0, 2.5)",P(beta_area_ri < 0),0.998875,NA,NA
