pid,eligible_order,title,title_en,authors,year,issn,journal_title,doi,document_type,language,source_file,source_file_exists,source_column,task_packet_file,input_text_hash,input_hash,input_hash_matches_source,body_hash_matches_inventory,body_char_count,body_word_count,source_method,source_url,retrieved_at,abstract_char_count,reference_tail_ratio,validation_flags,fulltext_validation_status,pilot_exclusion_policy,scope_exclusion_policy,ordering_policy
S1981-38212020000100201,173,How 'Democratic' is the Democratic Peace? A Survey Experiment of Foreign Policy Preferences in Brazil and China,How 'Democratic' is the Democratic Peace? A Survey Experiment of Foreign Policy Preferences in Brazil and China,Clara H. Suong; Scott Desposato; Erik Gartzke,2020,1981-3821,Brazilian Political Science Review,10.1590/1981-3821202000010002,research-article,en,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/173_S1981-38212020000100201.md,2686188d6ef37194525ed99c97afdeb99223519bf05fbb2ccf53fc2020f13ca1,0ab6cd3cf5a680a59a4ad11346793b4c2564ccc31e0c57fbbe4508ab9a0bbd3d,TRUE,TRUE,51101,7840,articlemeta_fulltexts_html,http://www.scielo.br/j/bpsr/a/kySyhpwVXRSnmBmWCnXYzht/?lang=en,2026-06-04T00:49:54Z,1167,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S2236-57102023000100205,274,A AGENDA DE PESQUISA DA BUROCRACIA DE NÍVEL DE RUA NO CONTEXTO DA PANDEMIA: UMA REVISÃO INTEGRATIVA,THE STREET-LEVEL BUREAUCRACY RESEARCH AGENDA IN THE PANDEMIC CONTEXT: AN INTEGRATIVE REVIEW,Carlos Eduardo Guilarducci Fonseca; Magnus Luiz Emmendoerfer; Josiel Lopes Valadares,2023,2236-5710,Cadernos Gestão Pública e Cidadania,10.12660/CGPC.V28.85447,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/274_S2236-57102023000100205.md,3f27d5c4760051b4dd5f824d39c9bc1bf0ec6782a096611064d8ce2c0b2ecd5a,cc4a479af68b545bc8ba495cf117ec6ad0c83f75c86123048f2e08d6ff167271,TRUE,TRUE,36346,5519,articlemeta_fulltexts_html,http://www.scielo.br/j/cgpc/a/Yc7Lx9HXpRQS67PWZxCjnMt/?lang=pt,2026-06-04T00:50:44Z,1507,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S2236-57102024000100204,307,FATORES FISCAIS E SOCIOECONÔMICOS QUE AFETAM A CRIMINALIDADE NO BRASIL,Fiscal and socioeconomic factors affecting criminality in Brazil,Rhomenig Oliveira de Souza; Felipe Storch Damasceno; Rebeca Corrêa Gomes Marques; Neyla Tardin,2024,2236-5710,Cadernos Gestão Pública e Cidadania,10.12660/CGPC.V29.89194,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/307_S2236-57102024000100204.md,f0cc55aa643481ac9bca1d1c6ae6c3f6e48cb3bdcf3cae7a0fcfafbae61cf31d,5104c4c4815c042e0c57c2e8e7a9fa748760cf99118cb40c5192578c2a748196,TRUE,TRUE,36351,5593,articlemeta_fulltexts_html,http://www.scielo.br/j/cgpc/a/rhTv7DbF6qw8ndHZYYYFJ3K/?lang=pt,2026-06-04T00:51:00Z,842,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S1981-38212016000200206,112,Unboxing the Active Role of the Legislative Power in Brazil,Unboxing the Active Role of the Legislative Power in Brazil,Andréa Marcondes de Freitas,2016,1981-3821,Brazilian Political Science Review,10.1590/1981-38212016000200004,research-article,en,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/112_S1981-38212016000200206.md,303958a0759f117dee91adeb51cdd2e11c1f266635a38ae56da71087bff4fbb0,333502f7b5049b770f8774b9fde87f01c307f8f9129858457473759ba9d39c3b,TRUE,TRUE,52272,8496,articlemeta_fulltexts_html,http://www.scielo.br/j/bpsr/a/GjbT5XFWqbzttFJkfpVKGmB/?lang=en,2026-06-04T00:49:28Z,1042,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S1981-38212019000300203,170,Race and Competitiveness in Brazilian Elections: Evaluating the Chances of Black and Brown Candidates through Quantile Regression Analysis of Brazil's 2014 Congressional Elections,Race and Competitiveness in Brazilian Elections: Evaluating the Chances of Black and Brown Candidates through Quantile Regression Analysis of Brazil's 2014 Congressional Elections,Carlos Augusto Machado; Luiz Augusto Campos; Filipe Recch,2019,1981-3821,Brazilian Political Science Review,10.1590/1981-3821201900030003,research-article,en,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/170_S1981-38212019000300203.md,682a7f9413701c8889975d8a2381bf082793b0c8bb8d2ac2346ef42ba318ce85,d1e8fb3a73b6e62f2891b247e1266cc22e2ff70e7455f3d97e2f7dcc2356956e,TRUE,TRUE,34124,5278,articlemeta_fulltexts_html,http://www.scielo.br/j/bpsr/a/4PsrySrCcG4dGSjttTyrxSF/?lang=en,2026-06-04T00:49:53Z,1417,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S1981-38212022000200207,211,-State Presence in Brazilian Social Assistance Services: Effects on the Creation of Nonprofit Private Providers,-State Presence in Brazilian Social Assistance Services: Effects on the Creation of Nonprofit Private Providers,Ana Paula Karruz; Natália Sátyro; Eleonora Cunha,2022,1981-3821,Brazilian Political Science Review,10.1590/1981-3821202200020006,research-article,en,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/211_S1981-38212022000200207.md,6b5497bc1207a53281b14bc19c34efbe002093337b72cbd4a630d797629eb826,f0257f3ee1d88784e02c8c18cee08b5a49d7065f870164dbb17e7d393935864e,TRUE,TRUE,58012,8916,articlemeta_fulltexts_html,http://www.scielo.br/j/bpsr/a/NMq8YYndPRCsM9pP4ndkRPd/?lang=en,2026-06-04T00:50:12Z,1081,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S1981-38212008000200074,16,Policy Positions in the Chilean Senate: An Analysis of Coauthorship and Roll Call Data,Policy Positions in the Chilean Senate: An Analysis of Coauthorship and Roll Call Data,Eduardo Alemán,2008,1981-3821,Brazilian Political Science Review,10.1590/1981-3846200800020003,research-article,en,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/16_S1981-38212008000200074.md,ab58d72e0d53f304a49f788b281604e0eaa0f778015b4ff8d71a6b051aed9736,2b5fbe390d6b45971e021da47fa9e505b64f68db0db689cc4a27fcc30b5edfe4,TRUE,TRUE,37676,5746,articlemeta_fulltexts_html,http://www.scielo.br/j/bpsr/a/NfqLDj9S5k5hKDcbRc6nFFS/?lang=en,2026-06-04T00:48:01Z,914,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S1981-38212019000200202,163,Migrant Remittances and Rights to Physical Integrity: A Cross-section Study of Latin America (1981-2014),Migrant Remittances and Rights to Physical Integrity: A Cross-section Study of Latin America (1981-2014),Cristiane Lucena Carneiro; Ana Figueroa,2019,1981-3821,Brazilian Political Science Review,10.1590/1981-3821201900020004,research-article,en,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/163_S1981-38212019000200202.md,840b55105f13771deed9f1d6bde4827f12c72c155e955ced83360bbe11b16a64,5f34fd004f92694589955f9cc6d5fe764c3c48bd7e011a42e719c13595a0a7bd,TRUE,TRUE,43635,6624,articlemeta_fulltexts_html,http://www.scielo.br/j/bpsr/a/CKq4qwHzd77NtvGzW4cYVZb/?lang=en,2026-06-04T00:49:50Z,1130,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S2236-57102024000100406,322,DESIGUALDADES DE GÊNERO E COR/RAÇA ENTRE OS DIRIGENTES MUNICIPAIS E ESTADUAIS NO BRASIL (2010 e 2019),GENDER AND RACE INEQUALITIES AMONG STATE AND LOCAL LEVEL BUREAUCRATS IN BRAZIL,José Teles,2024,2236-5710,Cadernos Gestão Pública e Cidadania,10.12660/CGPC.V29.89163,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/322_S2236-57102024000100406.md,af646d71108269058281971958e9f592b45fd25103957fe36e6f58146358d58d,49bc8245c7f9d384d8a3e9711aede901a242d461b00cd8415c4787622c201e79,TRUE,TRUE,39714,6034,articlemeta_fulltexts_html,http://www.scielo.br/j/cgpc/a/Yk8z6hNFVTqdV4qn6wZKYTQ/?lang=pt,2026-06-04T00:51:07Z,893,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S1981-38212014000200094,82,A Comparative Analysis of Brazil's Foreign Policy Drivers Towards the USA: Comment on Amorim Neto (2011),A Comparative Analysis of Brazil's Foreign Policy Drivers Towards the USA: Comment on Amorim Neto (2011),Fernando Mourón; Francisco Urdinez,2014,1981-3821,Brazilian Political Science Review,10.1590/1981-38212014000100013,research-article,en,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/82_S1981-38212014000200094.md,a1ccf09f5657c6843ba332b36f382dbd3708f37e8f9d15750673db2332c6b3bf,634b33a175217fb1bd90e7048f6bdb9a86fb84c9434353d199371015e2f077cf,TRUE,TRUE,32325,5272,articlemeta_fulltexts_html,http://www.scielo.br/j/bpsr/a/mgZvKzcWtXgcNc9gSjq683K/?lang=en,2026-06-04T00:49:15Z,1045,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
